X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,601.8532,2457.8811,16.4395501462031,9.236,0.061,-67.79,9.338,8.77,4207,0.033378964947229084
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4024.5955,337.1194,16.8592265408414,9.984,0.173,79.07,10.613,8.776,4270,0.049973718498772815
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2912.6218,675.1016,17.0186037244953,12.333,0.225,-49.68,13.398,10.38,5622,0.05164199822346354
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3266.8862,1575.3872,17.3840514351475,10.453,0.341,35.06,12.297,8.105,4034,0.06739981190699214
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,550.1373,3450.1819,17.4401373838864,11.521,0.154,-51.24,11.806,9.984,4387,0.04762365859612981
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,647.1541,1664.7094,17.7602644116271,9.076,0.163,-75.76,9.484,7.942,2973,0.05423393254298297
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3643.3931,1383.7139,18.0475670251359,9.888,0.226,-52.73,10.603,8.206,3042,0.04527635850004474
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,620.4091,1436.0018,17.9757653798114,11.881,0.259,-26.84,12.657,9.384,3889,0.06638269891308843
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.7397,3768.0947,18.1933975228926,8.41,0.189,-31.42,9.101,7.378,2424,0.09489201280399841
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,111.5947,2197.3762,17.7785862949672,11.033,0.197,-81.57,11.607,9.321,3739,0.10558344669054173
