X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,108.57753197166,60.8034179041293,20740.433577548,526.8593,2786.6399,16.8715745145271,2.08404,0.4,-38.46,15.081,9.047,5652,0.058464621143702954
387.3,454.0,17.30232513182,1.678,0.45,-40.8,95.8023439234137,52.6912891578776,15858.599511912,387.5577,454.271,17.3002005049699,1.93284,0.446,-38.76,15.118,8.371,4814,0.07491541512349745
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,100.294573688363,82.2415504244576,25913.0539053644,2460.3474,1071.5513,17.6148986238969,2.010624,0.158,-1.26,12.111,10.201,4234,0.04315921694439352
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,73.597169621714,61.0856507860226,14123.7554895039,1471.3199,1175.0582,17.9321637182768,1.514184,0.142,40.68,9.124,7.827,2618,0.05802173300565845
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,80.4158190865199,52.2702824062379,13205.2372735741,4049.4895,1095.0186,18.0514288178285,1.65648,0.3,-50.57,10.955,7.671,2938,0.049751222933416835
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,102.386649113401,52.2171910478344,16796.032575674,2089.2024,724.9782,17.9082773763281,2.08572,0.447,-49.6,14.865,8.222,3906,0.059478716863533385
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,66.6484496496765,62.6495426706959,13117.7040723524,2043.0298,360.8287,18.3437017902424,1.423128,0.045,16.86,8.098,7.732,2176,0.0557501225806116
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,92.5631762146207,79.6043315445738,23148.6048282929,1437.1993,4063.5059,18.5014625724783,1.9446,0.122,23.37,11.094,9.74,3078,0.02304171820103299
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,75.2430592627036,74.4906286700766,17608.3214214163,3041.1453,2890.3726,18.4956954142768,1.60272,0.019,-46.66,8.804,8.638,2370,0.07116138023537202
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,60.2861696865205,51.8461059304076,9819.37186173716,373.9427,883.1086,18.7658170232844,1.318632,0.103,-20.1,7.626,6.837,1693,0.0701119088597888
2400.2,2588.1,19.1580377148667,1.079,0.32,-58.7,57.6305484290555,39.1887729317577,7095.19425675296,2400.1113,2588.3013,19.1675331298692,1.314432,0.237,-66.11,8.262,6.303,1543,0.047898936945321775
854.5,2942.4,18.867599357655,1.628,0.28,66.0,83.4179747929352,60.0609418509134,15739.8885514558,854.3637,2941.7739,18.8863534390007,1.810872,0.311,72.3,11.711,8.073,2493,0.13351077575872858
200.8,395.8,19.1634354051059,1.467,0.17,88.1,74.0946288921769,61.4985419805068,14315.3318298904,200.5953,395.8499,19.1885454573334,1.642368,0.148,85.23,9.282,7.906,1950,0.06555792556097752
3502.9,419.1,19.0167382953369,1.317,0.11,87.6,67.8311990660858,60.3697671688164,12864.6764431213,3502.7261,419.1087,19.0330087970944,1.500744,0.089,74.7,8.506,7.748,1901,0.04764693537813478
3395.6,774.1,19.2144711753737,1.413,0.15,70.6,71.3882289529778,60.6799946100311,13608.868389294,3395.4839,774.188,19.244852651725,1.578696,0.126,72.27,8.82,7.711,1803,0.0673954310966158
1148.4,4046.5,19.0248973902175,1.691,0.19,69.9,84.6154222409899,68.5384920152018,18219.3946633453,1148.2922,4046.5588,19.0438178529192,1.850856,0.181,70.22,10.615,8.698,2388,0.04511404887727149
2200.0,12.5,19.1300714485829,1.709,0.38,-61.7,86.4208533845429,53.5809290984166,14547.174997726,2199.521,15.5441,19.3000762535576,1.73208,0.239,-43.69,10.113,7.697,1786,0.7038792277499988
1783.4,3041.8,19.7152297104168,1.256,0.14,-5.0,62.3989483087288,53.6630955455068,10519.6881101488,1783.251,3041.7676,19.757574348913,1.421112,0.108,-4.64,7.62,6.801,1275,0.09001511947906106
3927.8,3879.3,19.6634648015494,1.179,0.25,-8.0,59.8742351208268,44.9056763406201,8446.77825031674,3927.928,3879.0493,19.6595418212913,1.379448,0.162,-18.7,7.86,6.588,1317,0.05684556433027842
342.2,2519.4,19.6646720858896,1.586,0.42,77.1,78.646786965221,45.6151364398282,11270.4131215744,342.0416,2519.6475,19.7051034242122,1.75308,0.362,76.51,10.543,6.728,1586,0.09997366424667779
2266.4,3089.2,19.6086701203018,1.521,0.27,39.7,74.9124849268828,54.6861139966244,12870.0768285799,2265.9841,3089.6047,19.6319878795035,1.69092,0.169,32.39,9.393,7.809,1682,0.12507357712246034
1705.5,442.3,19.3281794863145,1.156,0.02,13.4,59.0371913403344,57.8564475135277,10730.6819875395,1705.3956,443.088,19.3213637616179,1.393224,0.068,84.46,7.707,7.181,1513,0.15956290405282428
171.4,1729.8,19.6677303946088,1.034,0.11,75.6,52.8310281962905,47.0196150946985,7804.01338025812,171.3556,1729.8555,19.6958063064179,1.237992,0.079,73.68,6.777,6.245,1142,0.05792109560379618
3986.2,1200.2,19.261362624953,1.341,0.14,62.4,67.9870513479856,58.4688641592676,12488.2256015112,3985.9377,1200.7067,19.260838977364,1.546608,0.121,73.22,8.566,7.528,1702,0.11412229802025532
3902.2,1488.7,19.7095641729172,1.003,0.27,-18.3,52.0315741309171,37.9830491155695,6208.78559402928,3902.1519,1488.6201,19.7153030503714,1.232448,0.192,-19.49,7.16,5.783,1111,0.021889354683775786
4046.6,2149.2,19.2695094298366,1.68,0.23,-40.1,83.1021461394174,63.9886525273514,16705.7153560163,4046.4812,2149.3142,19.3090042687647,1.8186,0.186,-43.06,10.141,8.254,2026,0.08559758818687528
1846.0,3129.4,19.6000593346805,1.495,0.38,3.5,74.7227866412183,46.3281277175553,10875.4611565133,1846.2029,3129.802,19.6262101655347,1.692096,0.342,6.33,10.359,6.819,1650,0.10416093905075224
1435.0,1934.1,19.9776656374677,1.116,0.18,13.5,55.6109869745359,45.6010093191195,7966.81864228062,1434.901,1934.1185,20.0005415676899,1.319976,0.13,16.71,7.154,6.225,1077,0.04998998790535479
1839.7,576.6,19.9082420835996,0.974,0.05,-32.6,49.1878199737146,46.7284289750289,7220.8550593088,1839.6055,576.7123,19.9570565700449,1.172472,0.048,-43.22,6.207,5.908,946,0.10194571232865617
424.6,166.0,19.8387475128319,1.395,0.24,-38.4,68.3147001356559,51.9191721030985,11142.7348865525,424.7672,166.0748,19.8312473121426,1.62456,0.169,-51.42,8.84,7.35,1448,0.039584916349341005
658.8,3698.6,20.0077302395289,1.413,0.49,56.4,70.2867785838526,35.8462570777648,7915.29903293658,658.7973,3698.6572,20.0266150301613,1.664712,0.422,57.03,10.102,5.838,1284,0.039462100104151
3439.2,920.0,20.1371841463385,1.06,0.2,34.4,52.7480455772705,42.1984364618164,6992.82412011616,3438.9731,920.2298,20.1706989916526,1.263192,0.081,33.19,6.762,6.215,997,0.09307931667642609
599.6,947.2,19.8979616926894,1.16,0.3,-29.3,58.4383115383362,40.9068180768354,7510.05696830877,599.1303,947.4017,19.9063422034418,1.379616,0.271,-30.04,8.04,5.858,1143,0.10359467513447161
398.8,3285.1,19.9775847249659,1.17,0.21,-82.7,58.0646568931763,45.8710789456093,8367.59577978901,398.7838,3285.4407,19.9914925949185,1.38264,0.187,-85.75,7.666,6.234,1139,0.0736518528948483
795.1,112.2,19.9464667624114,1.055,0.21,73.6,53.2389263534004,42.0587518191863,7034.5373731959,795.0451,112.2306,19.976926186647,1.262016,0.166,72.53,6.992,5.828,1010,0.0622014563126249
4173.4,1896.9,19.9872252871106,0.95,0.21,60.4,48.5202072610822,38.3309637362549,5842.81665674141,4173.4399,1897.1558,20.0173568477957,1.172472,0.169,59.33,6.58,5.466,919,0.07945113159651537
3195.6,3301.0,19.8015692070429,1.5,0.41,26.8,74.2136669433295,43.7860634965644,10208.6817725078,3195.4854,3301.0662,19.8670083528677,1.65732,0.356,25.67,9.893,6.368,1416,0.13353144543173606
1227.5,3972.7,20.0461123737317,1.169,0.18,-1.7,57.6059173058018,47.2368521907574,8548.65751645549,1227.2876,3972.8015,20.0867411638882,1.35324,0.149,-0.36,7.297,6.206,1054,0.0939139570993816
399.2,1966.7,19.8430784189129,0.959,0.19,-58.9,49.2822518092653,39.9186239655049,6180.39138442432,399.2625,1966.8247,19.8823808193056,1.171968,0.155,-58.76,6.675,5.643,1011,0.08341099736879917
169.3,1928.6,19.8139288253988,1.023,0.28,45.1,52.6271196146114,37.8915261225202,6264.71864112524,169.1946,1928.6956,19.8490136224337,1.238328,0.218,44.8,7.191,5.623,1049,0.0757226862129589
