X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,108.57753197166,60.8034179041293,20740.433577548,526.8548,2786.6633,16.8711154547269,2.083704,0.399,-38.7,15.044,9.048,5615,0.06062486324543522
387.3,454.0,17.30232513182,1.678,0.45,-40.8,95.8023439234137,52.6912891578776,15858.599511912,387.5573,454.2359,17.299219196096,1.933848,0.448,-38.42,15.192,8.382,4865,0.07009224366774444
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,100.294573688363,82.2415504244576,25913.0539053644,2460.3452,1071.5541,17.6209382300923,2.004408,0.157,-1.36,12.047,10.152,4200,0.052362117186705616
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,73.597169621714,61.0856507860226,14123.7554895039,1471.3119,1175.0208,17.9308573399711,1.515192,0.139,40.22,9.135,7.861,2635,0.052629879070353026
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,80.4158190865199,52.2702824062379,13205.2372735741,4049.5137,1094.9803,18.0544678946965,1.655472,0.29,-50.38,10.854,7.712,2899,0.052360599572059456
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,102.386649113401,52.2171910478344,16796.032575674,2089.1584,725.0345,17.9043138682293,2.0916,0.442,-49.37,14.882,8.303,3991,0.06037467566445774
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,66.6484496496765,62.6495426706959,13117.7040723524,2043.0023,360.8242,18.3406239015055,1.422456,0.04,15.72,8.049,7.731,2147,0.05197377012976024
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,92.5631762146207,79.6043315445738,23148.6048282929,1437.1807,4063.5452,18.5086198842386,1.938048,0.128,21.81,11.042,9.626,3005,0.03859736604888666
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,75.2430592627036,74.4906286700766,17608.3214214163,3041.1941,2890.3411,18.4959076858598,1.60188,0.01,-21.13,8.739,8.655,2360,0.06485127883071587
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,60.2861696865205,51.8461059304076,9819.37186173716,373.9557,883.1277,18.7585854560495,1.321152,0.105,-16.54,7.667,6.863,1720,0.0579048024048931
2400.2,2588.1,19.1580377148667,1.079,0.32,-58.7,57.6305484290555,39.1887729317577,7095.19425675296,2400.1492,2588.2847,19.1764294857011,1.307712,0.26,-59.0,8.17,6.047,1467,0.0530959245921026
854.5,2942.4,18.867599357655,1.628,0.28,66.0,83.4179747929352,60.0609418509134,15739.8885514558,854.3658,2941.7083,18.8862189473604,1.810872,0.302,72.59,11.662,8.14,2531,0.14573844433923916
200.8,395.8,19.1634354051059,1.467,0.17,88.1,74.0946288921769,61.4985419805068,14315.3318298904,200.6187,395.8896,19.1974725829608,1.625568,0.143,83.18,9.195,7.877,1915,0.07918436508763722
3502.9,419.1,19.0167382953369,1.317,0.11,87.6,67.8311990660858,60.3697671688164,12864.6764431213,3502.812,419.2237,19.0324771585222,1.50444,0.081,74.69,8.456,7.768,1887,0.0437255913628689
3395.6,774.1,19.2144711753737,1.413,0.15,70.6,71.3882289529778,60.6799946100311,13608.868389294,3395.4666,774.1105,19.2498589256383,1.575336,0.111,69.01,8.691,7.729,1772,0.07567342318001057
1148.4,4046.5,19.0248973902175,1.691,0.19,69.9,84.6154222409899,68.5384920152018,18219.3946633453,1148.2819,4046.5129,19.0658705190786,1.818264,0.16,70.72,10.231,8.597,2268,0.08532280259449067
2200.0,12.5,19.1300714485829,1.709,0.38,-61.7,86.4208533845429,53.5809290984166,14547.174997726,2199.509,15.4431,19.3096701190155,1.722504,0.23,-46.34,10.016,7.716,1773,0.6965195432180138
1783.4,3041.8,19.7152297104168,1.256,0.14,-5.0,62.3989483087288,53.6630955455068,10519.6881101488,1783.2793,3041.7554,19.7526469169673,1.422792,0.09,-3.29,7.592,6.91,1294,0.07913852073623098
3927.8,3879.3,19.6634648015494,1.179,0.25,-8.0,59.8742351208268,44.9056763406201,8446.77825031674,3927.9673,3878.936,19.6502655440359,1.388352,0.161,-21.35,7.923,6.651,1350,0.08436267981597902
342.2,2519.4,19.6646720858896,1.586,0.42,77.1,78.646786965221,45.6151364398282,11270.4131215744,342.1121,2519.5083,19.7012037630865,1.771392,0.366,77.44,10.711,6.795,1646,0.07821379722464593
2266.4,3089.2,19.6086701203018,1.521,0.27,39.7,74.9124849268828,54.6861139966244,12870.0768285799,2266.1023,3089.5901,19.6366674825621,1.699992,0.181,34.08,9.431,7.724,1663,0.11298999822040258
1705.5,442.3,19.3281794863145,1.156,0.02,13.4,59.0371913403344,57.8564475135277,10730.6819875395,1705.4462,443.097,19.312616232705,1.402464,0.074,84.95,7.85,7.266,1578,0.1627690860634345
