NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,424.6505,166.1129,759.1863,19.7991,8.888,7.457,3.67,5.94,9.846,0.161,-49.2,-0.000188757,0.0815596,1495,0.001
2,795.0753,112.2098,646.3369,19.9739,7.117,5.885,3.56,5.28,7.533,0.173,73.38,0.002108691,0.0815596,1051,0.003
3,1918.0735,52.8058,340.4163,20.67,6.397,5.166,3.84,5.94,7.131,0.193,-61.98,0.002557342,0.0815596,716,0.001
4,2199.4951,15.3724,1196.214,19.3055,10.038,7.736,3.52,5.28,10.279,0.229,-45.59,0.005224383,0.0815596,1778,0.001
5,2247.5349,11.7885,355.0735,20.6242,7.278,5.534,3.99,5.94,8.243,0.24,-56.47,0.003455662,0.0815596,776,0.001
6,3153.5798,41.58,32.08456,23.2343,3.271,2.649,4.95,7.26,5.091,0.19,65.56,0.0004005171,0.0815596,117,0
7,123.3797,29.628,93.61639,22.0716,4.932,3.77,5.25,7.92,7.321,0.236,65.7,0.0009651787,0.0815596,285,0
8,450.3815,32.7063,23.58265,23.5685,3.101,2.257,6.14,7.26,5.608,0.272,-67.43,0.0002066207,0.0815596,74,0
9,2177.052,62.0154,85.10517,22.1751,4.236,3.317,5.15,9.9,6.04,0.217,-78.41,0.002704585,0.0815596,225,0
10,1797.8306,28.6327,18.05486,23.8585,2.476,2.088,5.67,9.9,4.738,0.157,-0.57,0.001153633,0.0815596,58,0
11,995.3636,11.9681,333.0066,20.6939,6.753,6.11,3.91,5.94,8.288,0.095,26.38,-2.218937e-05,0.0815596,775,0.001
12,277.0507,8.7891,106.1918,21.9348,5.009,3.897,4.24,6.6,6.082,0.222,10.32,-0.0007784205,0.0815596,332,0
13,2725.9387,10.1898,25.00664,23.5049,2.797,2.494,4.48,6.6,4.24,0.108,-89.93,5.321132e-06,0.0815596,92,0
14,1990.5651,9.0847,23.59217,23.5681,2.738,2.421,6.1,10.56,5.646,0.116,-78.72,0.004115817,0.0815596,73,0
15,2394.4695,11.6423,7.407289,24.8259,1.538,1.015,7.7,10.56,3.858,0.34,72.82,0.0002089258,0.0815596,15,0
