NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.1786,112.2135,552.8023,20.1436,6.705,5.798,3.99,5.94,6.713,0.135,76.56,0.0009404034,0.0809588,1037,0.029
2,2177.3125,62.3717,92.53938,22.0842,3.877,3.274,6.18,10.56,7.554,0.155,-86.43,0.006035702,0.0809588,201,0
3,1918.0042,52.7509,277.8766,20.8904,5.57,4.746,4.23,6.6,6.19,0.148,-57.52,0.002372911,0.0809588,594,0.012
4,1206.9489,55.0867,40.97386,22.9687,2.946,2.737,5.89,9.9,5.336,0.071,86.92,0.0002085432,0.0809588,115,0
5,1681.4001,47.1718,56.61171,22.6177,3.05,2.995,4.62,7.26,4.389,0.018,-80.43,-6.87412e-06,0.0809588,157,0
6,2199.9307,14.7857,995.4727,19.5049,9.199,7.28,3.61,5.28,8.034,0.209,-44.66,0.009956501,0.0809588,1688,0.029
7,123.3705,29.8498,70.36941,22.3815,3.688,3.034,5.4,10.56,5.668,0.177,65.27,0.0007518189,0.0809588,185,0
8,2247.6465,10.7687,298.093,20.8141,6.343,4.893,4.1,6.6,6.501,0.229,-58.45,0.008197795,0.0809588,636,0.002
9,995.4589,11.3432,278.2862,20.8888,5.838,5.191,4.17,6.6,6.553,0.111,33.86,0.0001820178,0.0809588,638,0.001
10,276.6406,8.3868,82.31103,22.2114,3.784,3.27,4.76,7.92,5.03,0.136,-17.18,-0.00170131,0.0809588,229,0
11,2725.9968,10.5244,19.6777,23.7651,2.196,2.031,5.59,9.24,4.039,0.075,-67.8,-0.0001209944,0.0809588,57,0
12,594.5195,12.6819,3.458725,25.6527,1.111,0.465,8.33,10.56,3.338,0.581,79.62,0.0002073204,0.0809588,5,0
13,1990.5391,9.4513,15.42866,24.0292,2.02,1.669,6.47,6.6,4.492,0.174,-26.82,0.0002795001,0.0809588,43,0
14,641.2751,10.8522,7.320567,24.8386,1.547,0.877,7.78,10.56,3.988,0.433,-75.06,0.0002557987,0.0809588,15,0
15,1406.7104,9.2034,5.903272,25.0723,1.481,1.028,6.27,9.24,3.089,0.306,-82.45,0.0006062901,0.0809588,14,0
16,3322.7856,8.7036,9.890575,24.5119,1.579,1.319,7.33,10.56,4.76,0.165,-59.5,-0.001564216,0.0809588,20,0
17,3572.2117,6.4193,10.79204,24.4172,1.91,1.633,6.06,10.56,3.722,0.145,2.91,-0.000286818,0.0809588,36,0
18,3993.4893,4.3379,26.65322,23.4356,3.163,1.982,4.83,9.24,3.917,0.373,3.41,-0.0003076714,0.0809588,93,0
19,1389.1401,3.4253,4.677654,25.3249,1.364,1.064,6.31,3.5,2.924,0.22,-4.94,0.0006332759,0.0809588,11,0
20,704.179,18.9488,8.293327,24.7032,1.49,1.071,8.11,10.56,4.726,0.281,2.49,0.0004810992,0.0809588,16,0
21,450.8356,32.2273,16.79034,23.9374,2.044,1.882,6.46,10.56,4.567,0.079,-87.84,0.0001980711,0.0809588,48,0
22,1797.2614,29.2893,14.68004,24.0832,1.918,1.556,7.4,10.56,5.469,0.188,24.67,0.0008531458,0.0809588,33,0
