X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,601.8522,2457.8699,16.4397626960182,9.228,0.06,-64.96,9.329,8.771,4205,0.03277213460340935
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4024.5933,337.1306,16.8584638432501,9.991,0.175,79.51,10.652,8.791,4311,0.050124704363931544
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2912.6311,675.0834,17.0188942469209,12.333,0.232,-50.05,13.45,10.336,5629,0.05029875436381974
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3266.8308,1575.3723,17.382241704416,10.444,0.344,35.31,12.38,8.124,4105,0.0644314595730188
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,550.1317,3450.168,17.4419512203685,11.522,0.152,-52.89,11.794,10.003,4384,0.050386136714766036
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,647.1213,1664.7181,17.7599370811698,9.075,0.164,-76.04,9.488,7.929,2947,0.05666162234050405
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3643.3923,1383.7152,18.0471496704624,9.883,0.23,-53.28,10.635,8.185,3024,0.044879791117589066
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,620.3943,1436.0117,17.977757622773,11.857,0.256,-26.57,12.595,9.371,3849,0.07139269598346455
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.708,3768.1548,18.1944979902915,8.423,0.183,-30.32,9.064,7.406,2434,0.10215970750329262
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,111.5911,2197.3977,17.7785642763709,11.023,0.196,-81.19,11.56,9.299,3671,0.10643541533795965
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3056.6289,2544.2917,18.5595886337516,11.335,0.147,33.57,11.06,9.432,3030,0.06823548446480032
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3937.4792,2567.9065,18.6977610585509,11.439,0.241,28.96,11.59,8.798,2878,0.08495150727574659
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3445.5847,3793.4526,18.6495001773034,7.827,0.135,89.43,7.822,6.767,1809,0.05867415304922132
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,67.1079351733339,49.6598720282671,10469.5820564768,1501.0355,3817.6345,18.6845040478248,8.242,0.198,13.55,8.566,6.87,1982,0.05817886128002487
