NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,2527.9482,109.1309,279.0699,20.8857,7.595,5.037,4.07,6.6,8.144,0.337,86.95,0.001690725,0.0753541,714,0.001
2,2753.8027,65.3031,1585.512,18.9996,8.469,6.304,3.5,5.28,8.125,0.256,63.09,0.00360938,0.0753541,1635,0.034
3,2281.6487,64.278,339.0757,20.6743,7.535,6.242,4.19,6.6,9.125,0.172,-54.81,0.0004665563,0.0753541,923,0
4,1055.5259,71.7089,116.6987,21.8323,5.412,3.953,3.5,5.94,6.136,0.27,-81.66,0.0008994737,0.0753541,366,0
5,3847.8652,54.5498,223.6458,21.1261,6.23,4.878,3.84,5.94,7.212,0.217,-8.04,0.002836548,0.0753541,569,0.001
6,1791.6489,50.3393,144.1112,21.6033,6.182,4.336,3.83,5.94,7.213,0.299,42.56,0.001998814,0.0753541,470,0
7,3409.0945,34.4996,505.2985,20.2411,7.374,5.695,3.63,5.28,7.775,0.228,-19.7,0.00735751,0.0753541,989,0.001
8,3758.1311,43.5514,40.24815,22.9881,3.44,2.95,4.45,5.94,4.794,0.142,57,0.002886879,0.0753541,157,0
9,3143.4111,37.7619,23.25693,23.5836,3.097,2.242,5.82,7.92,5.495,0.276,-58.31,-0.0007045807,0.0753541,82,0
10,1592.8087,38.6574,24.70112,23.5182,2.901,1.86,7.56,10.56,9.293,0.359,-66.63,-0.0005446781,0.0753541,45,0
11,1214.0376,28.6335,50.6241,22.7391,5.213,3.227,4.78,7.92,7.518,0.381,-43.94,0.0001959286,0.0753541,199,0
12,3254.9041,26.7759,70.67804,22.3768,4.66,3.53,4.22,7.26,6.334,0.242,86.63,0.001565057,0.0753541,257,0
13,829.7136,29.4374,62.94771,22.5026,3.522,2.843,3.5,6.6,3.935,0.193,18.99,0.0001937884,0.0753541,180,0.001
14,3377.1157,23.5473,40.45525,22.9826,3.355,2.635,6.89,10.56,7.965,0.215,-30.09,0.008193508,0.0753541,101,0
15,2621.2588,28.6825,13.46581,24.1769,2.544,1.731,5.84,7.92,4.369,0.32,-64.82,9.891501e-05,0.0753541,43,0
16,888.0575,22.2886,31.02159,23.2708,3.609,2.453,4.5,8.58,5.173,0.32,14.26,2.509594e-05,0.0753541,123,0
17,968.2469,23.1777,18.5586,23.8286,2.891,2.193,4.47,7.26,4.645,0.242,3.09,0.0002652837,0.0753541,74,0
18,2388.6418,18.5468,24.46078,23.5288,3.353,2.466,4.24,8.58,5.042,0.264,-40.31,0.0005214589,0.0753541,101,0
19,351.0947,10.8485,151.9003,21.5461,5.083,4.158,3.76,5.94,5.911,0.182,-54.59,0.0003768031,0.0753541,412,0.001
20,4096.0527,17.4881,15.45963,24.027,2.434,2.042,3.88,6.6,3.435,0.161,-41.49,-0.0008914185,0.0753541,68,0
