NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.4802,336.8645,10315.45,16.9663,15.047,12.044,3.5,3.5,9.192,0.2,78.67,0.02480486,0.0741638,9367,0.034
2,2753.8206,65.3891,1398.615,19.1358,9.264,6.934,3.68,4.62,7.414,0.252,66.5,0.01346158,0.0741638,2130,0.03
3,2281.5732,64.4442,288.1829,20.8508,6.223,5.387,4.8,7.26,7.706,0.134,-56.47,0.006092491,0.0741638,719,0.001
4,3848.1016,54.6315,200.4044,21.2452,5.358,4.659,4.67,6.6,6.735,0.13,0.37,0.008054554,0.0741638,521,0.001
5,1791.4821,50.239,121.6543,21.7872,4.829,3.746,4.93,7.92,6.284,0.224,38.26,0.005578481,0.0741638,334,0
6,1055.4884,71.6254,110.2896,21.8937,5.481,3.661,4.5,7.26,6.62,0.332,-79.11,0.002741103,0.0741638,341,0
7,3408.8777,34.6957,464.3398,20.3329,7.24,6.018,4.34,6.6,7.497,0.169,-13.98,0.0133256,0.0741638,1070,0.023
8,3009.2502,50.7925,12.97027,24.2176,2.14,1.123,7.77,10.56,6.137,0.476,46.85,0.004420266,0.0741638,22,0
9,3758.3225,43.3237,37.46957,23.0658,3.024,2.662,5.52,7.26,4.948,0.119,72.17,0.008895581,0.0741638,119,0
10,1212.5139,30.0286,51.10594,22.7288,3.414,3.085,6.33,10.56,7.493,0.096,-65.51,0.008353438,0.0741638,138,0
11,829.4825,29.1042,66.76665,22.4386,3.991,2.804,4.75,7.92,4.92,0.297,14.67,0.002447814,0.0741638,200,0.001
12,3254.9224,26.4261,60.45612,22.5464,3.394,3.135,5.24,9.24,5.542,0.077,71.81,0.004943063,0.0741638,181,0
13,3377.499,23.6719,52.12065,22.7075,3.618,2.452,7.42,10.56,10.955,0.322,-9.53,0.01427783,0.0741638,91,0
14,968.3923,23.7615,20.10164,23.7419,2.449,2.145,5.76,6.6,4.496,0.124,46.51,0.003375331,0.0741638,71,0
