NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,424.6624,166.1008,762.3771,19.7946,8.893,7.465,3.71,5.94,9.88,0.161,-49.3,-3.936977e-05,0.08232503,1496,0.001
2,795.0718,112.2024,645.562,19.9752,7.1,5.865,3.54,5.28,7.527,0.174,73.55,0.001475054,0.08232503,1042,0.003
3,1918.077,52.8013,342.6836,20.6628,6.405,5.171,3.9,5.94,7.168,0.193,-61.96,0.003272137,0.08232503,716,0.001
4,2199.5046,15.438,1219.86,19.2842,10.218,7.918,3.57,5.28,10.421,0.225,-44.36,0.0107465,0.08232503,1851,0.001
5,2247.5061,11.894,368.6442,20.5835,7.432,5.756,4.07,6.6,8.431,0.226,-54.3,0.008545039,0.08232503,818,0.001
6,3153.5852,41.5373,31.49072,23.2545,3.2,2.635,4.99,7.26,5.009,0.177,66.45,-0.0001577356,0.08232503,113,0
7,123.3552,29.6589,90.56969,22.1075,4.892,3.673,5.19,7.92,7.131,0.249,64.72,0.0004227568,0.08232503,277,0
8,2177.0422,61.9662,91.60622,22.0952,4.363,3.396,5.3,9.9,6.408,0.222,-79.63,0.006748957,0.08232503,238,0
9,1797.7705,28.6178,17.66408,23.8823,2.444,2.048,5.72,9.24,4.686,0.162,1.96,0.000497571,0.08232503,56,0
10,995.3826,12.0421,347.1642,20.6487,6.846,6.212,4.14,5.94,8.528,0.093,25.71,0.004396636,0.08232503,793,0.001
11,277.0398,8.7818,106.8351,21.9282,5.002,3.894,4.29,6.6,6.107,0.221,9.94,-0.000346051,0.08232503,332,0
12,2725.9153,10.1765,25.18411,23.4972,2.797,2.475,4.5,6.6,4.264,0.115,-87.73,4.669384e-05,0.08232503,92,0
13,1990.5638,9.0835,25.6721,23.4763,2.742,2.425,6.29,10.56,5.948,0.116,-78.46,0.006677336,0.08232503,75,0
14,2394.47,11.6424,7.340975,24.8356,1.538,1.015,7.68,10.56,3.844,0.34,72.82,9.674096e-05,0.08232503,14,0
15,1405.897,9.2677,11.07612,24.389,2.229,1.595,5.87,10.56,4.173,0.284,-50.14,-1.880761e-06,0.08232503,30,0
16,3324.1016,9.0623,7.967474,24.7467,2.091,1.061,6.83,7.92,4.099,0.493,-10.64,-0.0003275751,0.08232503,16,0
17,641.7774,9.3829,6.697999,24.9351,1.55,1.229,6.41,3.5,3.512,0.207,-29.74,-0.00137889,0.08232503,13,0
18,211.4067,8.7126,4.82569,25.2911,1.104,0.981,7.5,10.56,3.323,0.111,68.28,-7.899581e-05,0.08232503,9,0
19,3993.2222,4.6063,31.45127,23.2559,3.758,2.208,4.36,6.6,4.36,0.412,8.14,0.0003864275,0.08232503,120,0
