NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.0782,112.2427,653.9293,19.9612,7.079,5.879,3.66,5.28,7.603,0.17,74.91,0.003825085,0.0807259,1025,0.005
2,1918.0841,52.6299,337.3636,20.6798,6.187,5.18,3.8,5.94,7.036,0.163,-60.75,0.003522351,0.0807259,706,0.001
3,1206.8657,54.9141,48.70591,22.781,3.49,3.095,5.56,7.92,6.035,0.113,14.04,0.002120143,0.0807259,154,0
4,3153.9729,41.4944,29.26336,23.3342,3.133,2.495,4.81,7.26,4.887,0.203,-89.36,0.001243039,0.0807259,101,0
5,2199.6011,15.4903,1209.264,19.2937,10.017,7.759,3.56,5.28,10.355,0.225,-42.09,0.008104606,0.0807259,1797,0.001
6,2247.5952,11.8766,353.8712,20.6279,7.236,5.614,3.94,5.94,8.126,0.224,-64.75,0.007937932,0.0807259,771,0.001
7,123.5123,29.985,92.97138,22.0791,5.142,3.75,4.78,7.92,7.1,0.271,61.29,0.00208662,0.0807259,292,0
8,3986.699,54.714,44.41405,22.8812,4.336,3.142,5.84,9.24,7.113,0.275,65.26,0.001689676,0.0807259,130,0
9,450.5904,31.8604,22.47523,23.6207,2.365,1.946,6.69,10.56,5.593,0.177,-58.53,0.002398789,0.0807259,60,0
10,1797.2811,29.2909,20.07217,23.7435,2.317,2.181,7.08,10.56,6.137,0.059,-72.89,0.003177942,0.0807259,44,0
11,995.2758,12.0912,345.8924,20.6526,6.924,6.274,4,5.94,8.506,0.094,29.38,0.005519048,0.0807259,811,0
12,704.49,17.9924,7.842839,24.7638,1.895,0.881,7.49,10.56,3.909,0.535,-74.3,0.003016348,0.0807259,14,0.001
13,276.8723,8.4855,100.8561,21.9907,4.436,3.792,4.47,6.6,5.887,0.145,2.88,0.0001193269,0.0807259,286,0
14,2726.1274,10.3901,21.58759,23.6645,2.663,2.288,5.01,7.92,4.174,0.141,79.12,0.001391654,0.0807259,80,0
15,1990.8721,9.6385,18.8001,23.8146,2.668,1.91,6.06,10.56,4.933,0.284,67.72,0.003486284,0.0807259,61,0
16,642.0452,10.6465,11.04376,24.3922,2.184,1.268,7.48,9.24,4.885,0.419,82.15,0.002494033,0.0807259,24,0
17,2913.179,12.2076,3.020133,25.7999,0.976,0.344,8.38,10.56,2.794,0.647,-44.75,-0.002470938,0.0807259,3,0.011
18,2395.2817,10.9599,8.120289,24.7261,1.795,0.908,8.03,10.56,5.018,0.494,-22.56,0.004873967,0.0807259,10,0
19,3993.594,4.7551,34.74567,23.1477,3.873,2.372,4.45,7.92,4.756,0.388,2.57,-8.332616e-05,0.0807259,124,0
20,1406.2675,9.7289,10.10466,24.4887,1.633,1.225,7.59,3.5,4.766,0.249,-31.58,0.006136029,0.0807259,21,0
21,3572.3679,6.429,13.49714,24.1744,2.242,1.702,6.11,9.9,4.208,0.241,-80.11,0.002093795,0.0807259,42,0
22,3323.011,9.5105,9.069885,24.606,2.054,0.901,8.49,10.56,4.547,0.561,7.66,0.001784119,0.0807259,13,0
23,1389.6145,3.5168,5.328574,25.1835,1.169,1.049,7.11,10.56,3.122,0.102,8.21,0.006443379,0.0807259,13,0
