X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.8107,2457.8237,16.5581177272351,8.483,0.039,-46.91,12.779,12.277,9338,0.26541414018777226
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.5063,336.7532,16.9965820593028,8.874,0.212,79.91,14.094,11.101,8200,0.31954089596846047
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2911.9495,675.6494,17.2016916974426,10.132,0.295,-45.47,16.12,11.364,8056,0.4564224116442914
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.9504,1575.433,17.5467817380044,8.953,0.363,35.01,14.405,9.176,5918,0.36684606971043476
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.2419,3450.1975,17.6362434339559,9.369,0.156,-49.79,12.826,10.83,5945,0.4356590732781046
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.1334,1664.8229,17.9057419454314,8.096,0.179,-76.14,11.29,9.268,4499,0.33080606527567247
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.3408,1383.7224,18.22124713169,8.483,0.249,-53.56,11.697,8.781,3907,0.364884963397647
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,620.2772,1436.1301,18.2014663876533,9.301,0.257,-28.09,12.527,9.306,4298,0.5071716583954247
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.5964,3768.0537,18.3426038125223,7.597,0.189,-32.52,10.275,8.331,3338,0.34347961286200973
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.012,2197.1353,17.9597166792403,9.319,0.185,-71.16,12.693,10.344,4894,0.3962047589220374
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,400.325524268719,328.26692990035,412848.097141924,3056.9421,2544.168,18.7609470225122,9.099,0.116,29.36,10.632,9.397,3196,0.46943261241677803
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3937.5278,2567.9475,18.8484801027484,9.658,0.297,28.05,12.437,8.742,3205,0.3847453680783707
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3446.0242,3793.5659,18.8001343209837,7.11,0.083,73.12,8.826,8.094,2529,0.36527679753440306
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,322.929681357621,238.967964204639,242436.229237084,1501.0621,3817.7983,18.8211643993624,7.503,0.2,15.26,9.702,7.762,2651,0.3173950455818887
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1174.9401,1775.5083,18.7734128524012,7.134,0.212,18.07,9.489,7.474,2616,0.3359275844010235
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.1382,1693.2429,18.6180931654422,8.307,0.132,70.58,10.562,9.17,3309,0.40089670422960744
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2753.8535,65.3119,19.1951316197018,6.991,0.25,65.41,8.664,6.498,1884,0.43883081555396725
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3132.6143,919.946,19.1603849345068,7.534,0.31,-79.94,9.784,6.755,2123,0.4016982248201014
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2087.885,2688.0249,19.1270469356512,9.094,0.08,-75.67,9.661,8.888,2502,0.4651491350379649
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3568.4014,3363.0979,19.0380110194233,7.246,0.253,27.59,9.289,6.942,2192,0.3779306753639225
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1685.2612,1520.5168,19.1449082667914,7.668,0.045,65.14,8.368,7.989,2160,0.4093430665821066
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1685.8616,1217.3795,19.2251648233986,8.422,0.39,66.79,10.944,6.675,2214,0.38258068117470745
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,842.6931,2935.4814,19.2046706545281,8.53,0.319,-26.55,10.703,7.289,2288,0.43121670373273646
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3871.3542,2828.6826,19.2544371298787,7.288,0.131,51.85,8.546,7.423,2018,0.36206211735975524
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.507,530.8009,19.3689317937325,7.206,0.06,-18.18,7.753,7.288,1776,0.48742409134654185
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.2727,1141.4076,19.2453274241237,6.843,0.079,-27.8,7.73,7.119,1845,0.40151051633772555
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1632.2002,205.1046,19.7415494603627,7.639,0.087,-18.47,7.645,6.977,1488,0.43450201162338714
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.7744,526.8823,19.8853594640565,8.043,0.145,-34.05,7.997,6.841,1444,0.48610031820034094
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1101.2693,423.8437,19.634011081966,7.765,0.26,87.43,8.868,6.564,1650,0.4361505118574645
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,284.7961,3676.8242,19.3952851964497,7.485,0.061,-52.24,8.173,7.672,1876,0.2684574005268302
