X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,526.872,2786.6477,16.8702923336206,12.414,0.401,-38.6,15.079,9.036,5604,0.05619364648299265
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,387.4877,454.311,17.2951110043164,11.562,0.446,-38.71,15.232,8.444,4900,0.07407054447369467
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2460.3579,1071.5208,17.6131262738092,11.991,0.155,-2.11,12.1,10.222,4223,0.03820725692643234
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1471.3134,1175.0187,17.932172429326,9.028,0.138,39.75,9.117,7.861,2621,0.05453501572642123
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4049.5317,1094.9518,18.0505172939525,9.86,0.296,-50.4,10.918,7.686,2913,0.043587051675327636
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2089.2542,724.9237,17.9051882332453,12.426,0.446,-49.88,14.942,8.282,4005,0.04888509519281615
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2043.0176,360.8435,18.3365696432867,8.508,0.046,20.22,8.178,7.801,2216,0.04684306271287757
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1437.2087,4063.4714,18.5053189320183,11.562,0.121,22.59,11.036,9.703,3043,0.031300880451632776
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3041.1831,2890.3711,18.4918061006078,9.566,0.019,-38.62,8.876,8.707,2446,0.06207438929695969
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,59.8926050708937,51.5076403609686,9691.58325321978,373.9367,883.0871,18.7592926733164,7.875,0.106,-19.65,7.657,6.844,1703,0.05685704105401813
2400.2,2588.1,19.158038031823,6.425,0.32,-58.7,63.302560553605,43.0457411764514,8560.5435321722,2400.134,2588.2971,19.1716744624868,7.816,0.24,-65.89,8.222,6.249,1518,0.04970098777265678
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,854.3632,2941.6934,18.8787898517237,10.822,0.312,73.1,11.858,8.162,2579,0.14565472553382375
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,200.563,395.8459,19.1754587768158,9.815,0.147,83.5,9.35,7.977,1982,0.0539389263001752
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,66.1775527129409,58.8980219145174,12245.0703516176,3502.865,419.1977,19.039399613369,8.914,0.095,77.96,8.469,7.662,1866,0.049846679513208474
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,70.9173710931994,60.2797654292195,13429.9394392252,3395.4629,774.1672,19.244067543651,9.422,0.123,73.56,8.833,7.749,1815,0.06661403255001797
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,85.6954609315338,69.4133233545424,18687.4709138708,1148.3224,4046.6748,19.0171502256276,11.222,0.181,70.08,10.844,8.878,2485,0.041271007806525206
2200.0,12.5,19.130071263245,10.172,0.38,-61.7,98.0829042666101,60.8114006452982,18738.2140696923,2199.4067,15.3702,19.2809181886071,10.436,0.23,-45.04,10.256,7.901,1858,0.6592581412199588
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,61.5837246126086,52.9620031668434,10246.6104872274,1783.3519,3041.8108,19.7403016014681,8.568,0.099,-10.53,7.731,6.964,1324,0.05110435842696242
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,62.7618125967971,47.0713594475978,9281.15640938911,3928.0437,3879.0222,19.6464961170914,8.324,0.167,-17.14,7.949,6.622,1343,0.08132909957205138
342.2,2519.4,19.664671706824,9.44,0.42,77.1,91.5777419705445,53.1150903429158,15281.2094417864,342.1156,2519.4849,19.7000072722188,10.49,0.366,76.5,10.575,6.703,1605,0.07462177710049815
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,79.1216751819242,57.7588228828047,14356.9993311011,2265.8591,3089.511,19.6144518751644,10.219,0.187,33.98,9.601,7.806,1710,0.12530943933468536
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,55.2424404396049,54.1375916308128,9395.53815643043,1705.4204,443.0504,19.3119549652955,8.348,0.067,83.89,7.854,7.327,1588,0.15437346939268587
171.4,1729.8,19.6677306987168,6.157,0.11,75.6,51.5304057239577,45.8620610943224,7424.49643603849,171.3366,1729.9214,19.6935068047421,7.412,0.076,77.28,6.837,6.319,1171,0.05837316411148203
3986.2,1200.2,19.2613623112116,7.98,0.14,62.4,67.2022952959769,57.7939739545401,12201.5930783201,3985.8621,1200.7377,19.2523530273299,9.251,0.12,74.17,8.616,7.586,1718,0.12828623247928672
3902.2,1488.7,19.7095635408095,5.968,0.27,-18.3,55.2505927933398,40.332932739138,7000.78300943691,3902.1929,1488.5997,19.6794697278115,7.508,0.106,-47.98,7.401,6.613,1239,0.06345510997957103
4046.6,2149.2,19.26950947374,9.999,0.23,-40.1,85.8765044799876,66.1249084495905,17839.7726341156,4046.6067,2149.3127,19.3046421794369,10.849,0.186,-42.96,10.206,8.31,2069,0.07380693467284297
1846.0,3129.4,19.6000597989955,8.902,0.38,3.5,84.7178002273044,52.5250361409287,13979.4763275114,1846.1816,3129.6956,19.6070219297036,10.209,0.337,6.68,10.447,6.922,1682,0.07078496741862009
1435.0,1934.1,19.9776660757602,6.645,0.18,13.5,56.0247639464142,45.9403064360596,8085.81491000275,1434.7935,1934.1047,20.0105016617322,7.791,0.128,13.87,7.09,6.184,1070,0.07758405524350659
1839.7,576.6,19.9082415459492,5.801,0.05,-32.6,46.6295805548226,44.2981015270815,6489.27973412075,1839.6075,576.6561,19.9347687544501,7.075,0.056,-40.86,6.319,5.967,976,0.05729448424410198
424.6,166.0,19.8387475721631,8.306,0.24,-38.4,70.9338371861605,53.909716261482,12013.5226771942,424.6469,166.1183,19.7859798955764,9.946,0.162,-48.9,8.949,7.503,1515,0.10856089475743166
658.8,3698.6,20.0077311060648,8.411,0.49,56.4,86.4176160333513,44.0729841770092,11965.3280949421,658.6559,3698.3618,20.0206939234102,9.922,0.428,58.02,10.264,5.874,1304,0.0614330622417
3439.2,920.0,20.1371833067504,6.307,0.2,34.4,53.6570223742773,42.9256178994218,7235.90733443027,3438.9121,920.2992,20.1697722602657,7.563,0.074,27.32,6.712,6.215,971,0.10556191098536481
599.6,947.2,19.8979623505872,6.906,0.3,-29.3,63.0008015990798,44.1005611193558,8728.5089847458,599.0486,947.4895,19.8781800366951,8.384,0.258,-26.71,8.027,5.957,1153,0.13068316086450482
398.8,3285.1,19.9775851295134,6.962,0.21,-82.7,59.3669142811545,46.8998622821121,8747.13675180186,398.7903,3285.3879,19.9857414657288,8.213,0.19,-87.05,7.652,6.199,1128,0.059858708454680956
795.1,112.2,19.9464663692941,6.28,0.21,73.6,54.5400095789245,43.0866075673504,7382.5667735931,795.0812,112.2315,19.9446010586716,7.694,0.178,72.58,7.28,5.985,1087,0.008228981150041855
4173.4,1896.9,19.9872244537934,5.655,0.21,60.4,49.7645455351777,39.3139909727904,6146.34662275412,4173.416,1897.1584,20.0170463575786,6.995,0.178,61.59,6.711,5.517,958,0.07898143388991898
3195.6,3301.0,19.8015692500433,8.929,0.41,26.8,85.7809073631262,50.6107353442445,13639.0196741725,3195.458,3301.1042,19.8528511235423,9.935,0.345,28.15,9.866,6.464,1437,0.10844951615724525
1227.5,3972.7,20.0461130919053,6.961,0.18,-1.7,57.9746758634277,47.5392342080107,8658.45458665287,1227.1925,3972.9177,20.0608794168529,8.176,0.152,-1.86,7.448,6.316,1101,0.08093830672692232
399.2,1966.7,19.8430778679057,5.706,0.19,-58.9,50.0232467419288,40.5188298609623,6367.64207398458,399.1807,1966.7434,19.8731117105825,7.012,0.153,-57.81,6.701,5.674,1021,0.06081576525847261
169.3,1928.6,19.813928187505,6.091,0.28,45.1,56.1939184532118,40.4596212863125,7142.67686269135,169.1656,1928.6846,19.8440082323532,7.413,0.191,46.38,7.086,5.733,1047,0.06803128150614847
1733.5,3855.7,20.2409445817351,6.99,0.04,86.7,53.0059608148147,50.8857223822221,8473.650124295,1733.4888,3855.7585,20.2807382636727,8.056,0.045,78.12,6.736,6.434,963,0.08047536703610116
3780.4,3222.4,20.1518387416986,6.903,0.23,-47.0,58.9508908813318,45.3921859786255,8406.61857717485,3779.9285,3222.5291,20.1439395943119,8.317,0.202,-43.64,7.724,6.161,1089,0.09902562436404741
3371.8,3369.6,20.1847731250248,7.624,0.35,76.9,69.5733380180331,45.2226697117215,9884.36810321,3371.8518,3369.6128,20.1952355325726,8.955,0.271,75.59,8.317,6.061,1096,0.023482530099450585
3659.3,1811.4,20.7457560607682,6.695,0.41,20.5,62.7933834655354,37.0480962446659,7308.52359645571,3658.876,1812.67,20.694515606839,8.644,0.134,4.39,7.385,6.392,866,0.2867203382669978
2588.6,3559.1,20.2711777637855,7.805,0.39,-69.5,72.7699761647931,44.3896854605238,10148.0867957078,2588.4922,3559.1877,20.246336931782,9.422,0.342,-69.64,8.904,5.862,1086,0.0569289972921709
2598.1,1221.8,20.4089762358889,5.388,0.17,-28.0,45.2303457228352,37.5411869499532,5334.42704199125,2598.0378,1221.7213,20.424135274026,6.733,0.136,-20.87,6.083,5.254,762,0.0363659289057827
1918.0,52.6,20.6819988208541,5.565,0.27,-58.6,48.5865200009578,35.4681596006992,5413.82633915907,1918.0781,52.8103,20.6501561078154,7.229,0.194,-61.85,6.458,5.205,727,0.07790306262362359
995.4,10.3,20.484900004826,8.311,0.17,70.8,64.6763256696914,53.6813503058439,10907.3347874746,995.3754,12.0659,20.6428546165954,8.561,0.092,25.33,6.867,6.238,801,0.473876542405416
3049.6,3948.0,20.7331241005573,7.479,0.13,-79.1,56.763599990709,49.3843319919169,8806.61452462388,3049.2546,3948.6372,20.6565316113083,9.314,0.224,-86.38,7.788,6.044,892,0.2109059896171847
2248.3,9.1,20.4004454191695,7.97,0.45,-74.5,77.2263748483243,42.4745061665784,10304.9018490858,2247.5015,11.8164,20.5794211580675,8.457,0.238,-53.04,7.603,5.796,836,0.669917565969425
1041.3,923.7,20.2933443602056,7.237,0.1,80.0,56.1437383495434,50.529364514589,8912.40751045278,1041.1549,923.7893,20.3322739435797,8.297,0.123,74.53,7.139,6.259,968,0.08499217339199823
