X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,526.8672,2786.665,16.8692869295118,12.415,0.4,-38.61,15.147,9.085,5743,0.05714785851035362
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,387.5781,454.2605,17.2955751767143,11.541,0.448,-38.52,15.263,8.419,4903,0.07739838450108247
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2460.3391,1071.5374,17.6156515963566,11.965,0.165,-1.06,12.186,10.171,4298,0.04479182065363378
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1471.3002,1175.0676,17.9303991229736,9.036,0.139,40.04,9.171,7.893,2678,0.057611890756974524
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4049.4656,1094.9949,18.0527965380219,9.856,0.297,-50.68,10.876,7.649,2872,0.0506184648998176
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2089.1548,725.0154,17.9034284795474,12.465,0.446,-49.43,14.909,8.261,3957,0.05775496411198802
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2043.0568,360.836,18.3414901352557,8.486,0.043,20.26,8.114,7.763,2188,0.05160404867139707
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1437.1672,4063.5154,18.4978044706767,11.613,0.119,20.08,11.084,9.761,3080,0.01728374561076561
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3041.1755,2890.3176,18.4920566594411,9.567,0.005,-43.12,8.788,8.742,2429,0.057923853861129644
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,59.8926050708937,51.5076403609686,9691.58325321978,373.8992,883.1375,18.7529240524511,7.908,0.105,-20.35,7.741,6.927,1769,0.05247290778696971
2400.2,2588.1,19.158038031823,6.425,0.32,-58.7,63.302560553605,43.0457411764514,8560.5435321722,2400.1453,2588.2659,19.169641465704,7.801,0.241,-68.51,8.363,6.352,1534,0.04192428201571043
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,854.3166,2941.791,18.8726101200934,10.875,0.301,72.74,11.806,8.252,2592,0.12757874117800772
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,200.6147,395.8457,19.183615493817,9.763,0.144,82.26,9.308,7.97,1976,0.05555233562089467
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,66.1775527129409,58.8980219145174,12245.0703516176,3502.8623,419.0707,19.0305504745498,8.975,0.095,74.9,8.553,7.736,1925,0.02922417949844434
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,70.9173710931994,60.2797654292195,13429.9394392252,3395.519,774.2592,19.2484353085949,9.369,0.12,70.88,8.777,7.723,1816,0.0767552554785062
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,85.6954609315338,69.4133233545424,18687.4709138708,1148.2922,4046.5635,19.054041286105,10.944,0.147,73.04,10.23,8.727,2293,0.06343348782600422
2200.0,12.5,19.130071263245,10.172,0.38,-61.7,98.0829042666101,60.8114006452982,18738.2140696923,2199.6038,15.4945,19.2933551633866,10.359,0.225,-42.04,10.02,7.762,1797,0.6867362781896793
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,61.5837246126086,52.9620031668434,10246.6104872274,1783.3884,3041.7205,19.7397036635769,8.575,0.106,-7.82,7.76,6.936,1325,0.0515210449405681
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,62.7618125967971,47.0713594475978,9281.15640938911,3927.9004,3878.9644,19.6459043154656,8.324,0.154,-20.45,7.961,6.739,1373,0.07837567706255126
342.2,2519.4,19.664671706824,9.44,0.42,77.1,91.5777419705445,53.1150903429158,15281.2094417864,342.0924,2519.4895,19.6921291526872,10.651,0.36,76.43,10.722,6.863,1665,0.06164390008450911
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,79.1216751819242,57.7588228828047,14356.9993311011,2265.9688,3089.5022,19.6316758864976,10.097,0.185,32.65,9.474,7.72,1678,0.11491388119539413
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,55.2424404396049,54.1375916308128,9395.53815643043,1705.4778,443.1608,19.3071836921919,8.354,0.072,81.19,7.873,7.307,1601,0.1772652470196511
