NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,424.6574,166.1035,762.1663,19.7949,8.898,7.466,3.7,5.94,9.876,0.161,-49.19,-3.936977e-05,0.0821843,1497,0.001
2,795.0739,112.2017,645.562,19.9752,7.1,5.868,3.54,5.28,7.527,0.174,73.55,0.001475054,0.0821843,1043,0.003
3,1918.0782,52.7972,342.6836,20.6628,6.409,5.17,3.9,5.94,7.161,0.193,-62.01,0.003272137,0.0821843,718,0.001
4,2199.4146,15.3401,1218.98,19.285,10.214,7.876,3.57,5.28,10.396,0.229,-44.9,0.01074381,0.0821843,1839,0.001
5,2247.5129,11.8158,370.3765,20.5784,7.551,5.785,4.06,5.94,8.45,0.234,-52.68,0.008545039,0.0821843,833,0.001
6,3153.5852,41.5373,31.49072,23.2545,3.2,2.635,4.99,7.26,5.009,0.177,66.45,-0.0001577356,0.0821843,113,0
7,123.3552,29.6589,90.56969,22.1075,4.892,3.673,5.19,7.92,7.131,0.249,64.72,0.0004227568,0.0821843,277,0
8,2177.0422,61.9662,91.61977,22.095,4.363,3.396,5.29,9.9,6.409,0.222,-79.63,0.006748957,0.0821843,238,0
9,1797.8187,28.5937,17.91412,23.867,2.484,2.054,5.51,9.9,4.733,0.173,-1.91,0.000497571,0.0821843,57,0
10,995.3781,12.0431,347.2265,20.6485,6.849,6.213,4.14,5.94,8.529,0.093,25.43,0.004396636,0.0821843,794,0.001
11,277.0398,8.7818,106.8351,21.9282,5.002,3.894,4.29,6.6,6.107,0.221,9.94,-0.000346051,0.0821843,332,0
12,2725.9382,10.1893,24.92383,23.5085,2.797,2.494,4.49,6.6,4.227,0.108,-89.93,4.669384e-05,0.0821843,92,0
13,1990.5638,9.0835,25.6721,23.4763,2.742,2.425,6.29,10.56,5.948,0.116,-78.46,0.006677336,0.0821843,75,0
14,2394.47,11.6424,7.340975,24.8356,1.538,1.015,7.68,10.56,3.844,0.34,72.82,9.674096e-05,0.0821843,14,0
15,1405.8157,9.2467,10.89096,24.4073,2.231,1.683,5.52,10.56,4.111,0.246,-45.81,-1.880761e-06,0.0821843,32,0
16,3324.1016,9.0623,7.967474,24.7467,2.091,1.061,6.83,7.92,4.099,0.493,-10.64,-0.0003275751,0.0821843,16,0
17,641.7484,9.2939,6.706587,24.9337,1.525,1.291,6.53,9.9,3.516,0.153,-33.64,-0.00137889,0.0821843,14,0
