NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.072,112.2179,641.4322,19.9821,6.999,5.814,3.53,5.28,7.495,0.169,74.87,0.0005027138,0.0816091,1007,0.004
2,1918.1014,52.6465,333.6967,20.6916,6.159,5.135,3.72,5.94,6.973,0.166,-60.61,0.003028698,0.0816091,695,0.001
3,1206.7987,54.8949,47.60913,22.8058,3.432,3.087,5.51,7.92,5.934,0.1,13.7,-0.0001577716,0.0816091,151,0
4,3986.6321,54.8026,39.34243,23.0128,4.376,2.955,5.44,8.58,6.629,0.325,70.45,-0.0002359389,0.0816091,121,0
5,3153.989,41.4741,28.71081,23.3549,3.122,2.485,4.73,7.26,4.837,0.204,89.42,-0.0006897924,0.0816091,101,0
6,2199.6655,15.5033,1219.735,19.2843,10.058,7.817,3.56,5.28,10.405,0.223,-41.21,0.01166824,0.0816091,1817,0.001
7,2247.5486,11.9819,365.8206,20.5918,7.323,5.749,4.04,5.94,8.313,0.215,-63.17,0.01265712,0.0816091,807,0.001
8,123.5044,29.9954,91.07488,22.1015,5.118,3.702,4.71,7.92,7.016,0.277,60.75,0.0003901383,0.0816091,287,0
9,1797.2855,29.2911,19.59528,23.7696,2.315,2.18,6.99,10.56,6.068,0.058,-72.64,0.002705297,0.0816091,43,0
10,995.2893,12.0809,344.7944,20.6561,6.914,6.264,3.99,5.94,8.483,0.094,29.51,0.00362983,0.0816091,810,0
11,704.4494,18.24,6.576066,24.9551,1.841,0.737,7.61,10.56,3.55,0.6,-81.54,0.0003036755,0.0816091,12,0.002
12,276.8704,8.4852,101.1359,21.9877,4.438,3.793,4.49,6.6,5.897,0.145,2.89,9.674428e-05,0.0816091,286,0
13,2726.1406,10.4115,20.55367,23.7178,2.666,2.235,4.89,7.92,4.031,0.162,80.32,-0.0002189609,0.0816091,78,0
14,1990.8719,9.6355,19.19162,23.7922,2.669,1.911,6.08,10.56,5,0.284,67.69,0.003004254,0.0816091,61,0
15,641.8997,10.3446,10.27782,24.4702,2.044,1.139,7.27,9.9,4.859,0.443,85.2,5.966299e-05,0.0816091,20,0
16,2913.1792,12.2074,3.063447,25.7845,0.977,0.344,8.41,10.56,2.803,0.647,-44.76,-0.002826764,0.0816091,3,0.01
17,2394.9917,11.1054,4.497136,25.3677,1.347,0.762,6.92,8.58,3.079,0.434,-22.59,-0.0001185774,0.0816091,8,0
18,3993.5618,4.6904,32.96789,23.2048,3.863,2.304,4.29,6.6,4.601,0.403,1.52,-0.0003387449,0.0816091,122,0
19,1406.4718,9.7308,8.783911,24.6408,1.624,1.158,7.58,10.56,4.361,0.287,-38.54,0.0006034242,0.0816091,18,0
20,3572.4189,6.5095,12.66796,24.2432,2.071,1.698,6.01,9.9,4.051,0.18,-82.73,0.0001774674,0.0816091,37,0
21,3323.011,9.5106,8.785135,24.6406,2.053,0.901,8.42,10.56,4.49,0.561,7.66,-0.0003136094,0.0816091,12,0
22,1389.4941,3.4905,4.888117,25.2771,1.133,0.868,7.42,10.56,2.978,0.234,-45.85,0.000651663,0.0816091,10,0
23,1681.6976,47.4578,63.56366,22.492,3.235,3.146,3.75,5.94,4.269,0.028,0.9,-0.0006202443,0.0816091,183,0
24,450.6339,31.7366,20.31705,23.7303,2.26,1.959,6.45,10.56,5.138,0.133,-53.15,0.0003905513,0.0816091,57,0
25,2177.2742,62.4183,87.18191,22.1489,3.946,3.367,5.47,7.92,6.062,0.147,-85.15,0.005092516,0.0816091,222,0
26,3601.1899,52.2154,58.39125,22.5841,3.802,3.509,4.75,7.92,5.979,0.077,7.26,0.0001774674,0.0816091,192,0
27,2448.627,42.7659,29.12197,23.3394,3.383,2.451,5.27,7.92,5.362,0.275,-41.46,-0.0002628922,0.0816091,104,0
28,2106.1155,91.9462,62.64812,22.5077,5.972,3.363,5.63,7.92,9.24,0.437,50.77,0.001119887,0.0816091,194,0
29,2945.2126,23.2196,2.105051,26.1918,1.348,0.319,7.82,7.92,2.194,0.763,30.98,-0.000151405,0.0816091,4,0
30,2962.8801,128.8324,163.9437,21.4633,7.984,4.084,3.97,6.6,8.055,0.488,83.35,0.001964214,0.0816091,508,0
31,971.7581,38.294,10.94427,24.402,1.795,1.077,7.87,10.56,5.055,0.4,74.65,0.002718988,0.0816091,19,0
32,1409.5519,56.9355,44.87463,22.87,3.92,3.042,4.82,8.58,6.178,0.224,-23.15,0.000279535,0.0816091,162,0
33,2405.7397,44.7198,12.5934,24.2496,2.245,1.73,5.12,8.58,3.684,0.23,53.66,-0.0001952033,0.0816091,45,0
34,2745.5376,46.351,12.22191,24.2822,2.111,1.605,6.62,9.24,4.381,0.24,87.87,3.01661e-05,0.0816091,35,0
35,2519.2048,28.6063,6.327757,24.9969,1.13,0.673,8.32,10.56,4.354,0.404,-6.46,-0.0004528566,0.0816091,4,0
36,3823.9519,36.0558,8.509254,24.6753,1.426,1.066,8.04,10.56,4.561,0.253,37.11,-0.0001399791,0.0816091,14,0
37,3987.6606,48.8816,33.84283,23.1763,2.926,2.056,7.22,10.56,7.042,0.298,-36.61,-0.0002506254,0.0816091,52,0
38,3903.425,33.7859,3.184614,25.7424,0.757,0.451,8.28,7.92,2.996,0.404,-70.64,0.0001599092,0.0816091,3,0
39,3704.1433,36.1402,3.583215,25.6143,0.833,0.681,7.49,6.6,2.742,0.183,-46.42,-7.819101e-05,0.0816091,6,0
40,1462.8926,58.4525,15.89447,23.9969,2.815,1.816,5.9,7.26,4.91,0.355,-34.5,0.0002887277,0.0816091,44,0
41,3420.731,56.5824,15.51679,24.023,2.519,1.619,6.92,8.58,5.231,0.357,24.79,0.0001290991,0.0816091,41,0
42,3914.1787,99.5698,33.92626,23.1737,4.025,2.529,6.33,10.56,7.163,0.372,23.85,0.0004002419,0.0816091,102,0
43,2921.6282,75.0286,45.34846,22.8586,3.227,2.838,4.36,5.94,4.645,0.121,24.82,0.0008601353,0.0816091,144,0
44,538.2105,47.4648,7.816246,24.7675,1.228,0.888,8.26,10.56,4.578,0.276,0.28,3.941078e-05,0.0816091,10,0
45,424.8557,165.9206,749.5208,19.813,8.788,7.307,3.67,5.94,9.7,0.169,-47.86,0.001736701,0.0816091,1443,0.001
46,1191.0754,129.6491,257.5929,20.9727,5.844,5.161,3.61,5.94,7.006,0.117,-89.34,-0.0001151167,0.0816091,606,0.001
47,3575.4915,73.0014,11.40736,24.357,2.256,1.028,7.24,10.56,5.033,0.544,43.35,0.0001774674,0.0816091,13,0
48,804.411,77.0121,33.8212,23.177,2.83,2.142,7.76,10.56,9.481,0.243,-74.28,-0.0001464209,0.0816091,55,0
49,2381.1157,68.1079,16.44109,23.9602,2.319,1.931,6.57,6.6,4.785,0.167,68.81,-2.000462e-05,0.0816091,48,0
50,2465.5432,59.748,9.918698,24.5089,2.131,1.27,7.24,3.5,4.778,0.404,11.11,-0.0004671344,0.0816091,21,0
51,795.376,76.0596,35.10826,23.1365,2.95,2.436,6.7,10.56,7.341,0.174,-19.86,-0.0001180053,0.0816091,88,0
52,2390.103,82.3489,21.14659,23.6869,2.545,2.176,6,7.26,4.856,0.145,74.14,-0.0001022814,0.0816091,68,0
53,4156.5435,68.1196,10.21948,24.4764,1.794,1.275,6.85,10.56,4.3,0.289,-24.99,-0.0007210124,0.0816091,20,0
54,3645.5591,103.2231,85.86411,22.1655,4.339,3.86,4.21,6.6,6.014,0.11,-22.83,7.283202e-05,0.0816091,264,0
55,3260.3982,116.7406,149.3797,21.5643,5.546,4.483,4.21,6.6,7.265,0.192,-10.21,0.00193985,0.0816091,430,0
56,3360.5774,76.5779,6.85294,24.9103,1.994,1.078,7.09,9.9,3.889,0.459,60.53,0.00080462,0.0816091,15,0.001
57,2585.7112,66.4302,4.436915,25.3823,0.962,0.543,8.42,10.56,3.272,0.436,-59.05,-0.0003627636,0.0816091,4,0.002
58,3425.5242,72.4149,15.54686,24.0209,2.115,1.165,8.17,10.56,6.41,0.449,-10.82,0.0004112037,0.0816091,13,0
59,1473.8093,73.3143,7.9206,24.7531,1.468,1.137,7.1,10.56,4.103,0.225,66.09,0.0002078764,0.0816091,15,0
60,734.0459,90.7125,33.52983,23.1864,3.993,2.371,6.46,10.56,7.973,0.406,-4.61,0.0003036755,0.0816091,85,0
61,3325.8459,78.9815,12.16517,24.2872,1.71,1.503,7.12,10.56,4.038,0.121,-74.53,0.0004969932,0.0816091,30,0
62,2012.9388,110.4433,46.41946,22.8332,4.768,2.682,5.4,8.58,6.914,0.437,41.01,0.002594294,0.0816091,159,0
63,245.4509,96.0483,22.53877,23.6177,2.597,2.251,5.48,9.24,4.584,0.133,33.28,0.0003223977,0.0816091,74,0
64,3162.6477,86.8025,6.324054,24.9975,1.602,0.656,7.93,10.56,3.832,0.59,-50.96,-0.001170518,0.0816091,9,0.002
65,1060.2972,74.0293,5.50172,25.1488,0.745,0.682,8.91,5.28,3.898,0.085,-89.77,-7.967705e-05,0.0816091,6,0.005
66,3551.8296,77.6751,4.135901,25.4586,1.742,0.508,7.41,10.56,2.987,0.708,25.04,0.0001774674,0.0816091,11,0
67,1780.943,104.7434,39.51037,23.0082,3.254,3.178,5.02,7.92,5.567,0.023,10.19,0.001339177,0.0816091,136,0
68,2104.6868,106.9009,29.92267,23.31,3.097,2.618,5.3,5.94,4.999,0.155,83.42,0.000679894,0.0816091,105,0
69,1262.5524,91.2249,10.51214,24.4458,1.815,1.588,6.14,9.9,4.097,0.125,61.26,-0.0002969237,0.0816091,31,0
70,2673.0508,107.416,23.43048,23.5755,2.863,2.157,6.33,10.56,5.839,0.247,84.58,0.0002785504,0.0816091,67,0
71,3004.7385,106.127,30.95275,23.2733,3.252,1.968,7.49,10.56,8.541,0.395,-33.71,0.000449764,0.0816091,54,0
72,550.2592,112.3076,38.29309,23.0422,2.778,2.559,4.67,7.26,4.127,0.079,-7.94,0.0007184919,0.0816091,121,0
73,2743.7195,99.5661,11.40471,24.3573,2.311,1.437,6.64,7.92,4.551,0.378,-26.55,0.0003040342,0.0816091,31,0
74,3135.0083,118.6185,37.20966,23.0734,3.113,2.951,4.86,7.92,5.322,0.052,-0.53,0.001630514,0.0816091,123,0
75,2719.8037,98.5449,6.735692,24.929,1.509,0.646,8.46,5.94,4.485,0.572,-55.06,0.0004993765,0.0816091,7,0
76,3475.5073,90.5395,4.711946,25.317,1.304,0.454,8.05,10.56,3.461,0.652,54.13,0.0003083271,0.0816091,5,0
77,474.0319,123.1843,39.59641,23.0059,3.078,2.777,5.01,6.6,4.891,0.098,-43.77,0.001978269,0.0816091,129,0
78,465.2447,109.5841,18.32332,23.8425,2.088,2.048,7.07,10.56,5.658,0.019,71.71,0.001924098,0.0816091,42,0
79,865.5298,126.7878,45.11383,22.8642,4.311,2.836,5.35,7.92,6.523,0.342,-30.57,0.001405791,0.0816091,154,0
80,1583.3766,118.0736,22.48219,23.6204,2.521,2.183,6.13,10.56,5.135,0.134,23.36,0.0001280533,0.0816091,66,0
81,170.4666,120.1304,19.62652,23.7679,2.633,2.31,6.26,10.56,5.731,0.123,86.5,0.0003337445,0.0816091,46,0
82,2572.5247,103.8036,8.017728,24.7399,1.288,0.782,8.72,10.56,4.448,0.393,-58.98,-0.0003928391,0.0816091,9,0
83,123.7261,133.5145,52.48817,22.6998,3.174,2.927,4.33,5.94,4.333,0.078,-16.01,0.0001270024,0.0816091,156,0
84,565.6559,129.1792,28.80147,23.3515,3.003,2.49,5.54,6.6,5.059,0.171,44.68,0.0007777816,0.0816091,98,0
85,1954.6989,164.1511,132.2846,21.6962,6.028,4.99,4.77,6.6,8.658,0.172,-49.98,0.0005582527,0.0816091,436,0
86,1115.6447,118.5192,14.87517,24.0688,2.912,1.616,5.87,9.9,4.8,0.445,-22.68,5.240606e-05,0.0816091,44,0
87,1439.5992,111.8759,4.303103,25.4155,1.655,0.536,8.17,3.5,3.14,0.676,57.3,3.42452e-06,0.0816091,7,0.001
88,1969.9518,145.9167,77.38763,22.2783,4.033,3.328,4.69,6.6,5.249,0.175,-24.68,0.001129355,0.0816091,226,0
89,3381.9751,178.882,162.2102,21.4748,5.289,4.813,4.4,6.6,7.23,0.09,-85.82,0.00174231,0.0816091,435,0
90,3371.9282,135.7307,21.48481,23.6697,2.996,2.296,6.03,8.58,5.862,0.234,-53.08,0.001620545,0.0816091,60,0
91,2027.0316,148.9676,42.83995,22.9204,3.175,2.957,4.35,6.6,4.602,0.069,65.64,0.0008414902,0.0816091,144,0
92,2248.6108,127.791,8.729909,24.6475,1.82,1.32,6.77,5.28,3.794,0.275,80.68,0.000359381,0.0816091,24,0
93,3864.3525,138.4059,11.22658,24.3744,2.365,0.699,8.75,10.56,5.279,0.704,-13.47,0.0001819535,0.0816091,12,0
94,1694.2267,136.4264,17.47783,23.8938,2.694,1.994,5.96,10.56,4.917,0.26,12.8,-9.465242e-06,0.0816091,55,0
95,933.046,132.6306,9.085349,24.6041,2.352,1.148,6.84,9.24,4.318,0.512,8.25,0.0003150305,0.0816091,24,0
96,3513.4426,176.4073,88.74474,22.1296,5.575,3.851,4.59,7.26,7.43,0.309,-10.87,4.549884e-05,0.0816091,307,0
97,858.3362,151.8634,19.25414,23.7887,2.505,2.199,5.8,9.24,5.071,0.122,61.29,0.002336234,0.0816091,62,0
98,56.9737,133.9063,6.363994,24.9907,1.29,1.019,6.82,3.5,3.416,0.21,15.24,-4.368371e-05,0.0816091,14,0
99,1099.4097,158.4012,25.81747,23.4702,2.707,2.37,6.65,10.56,6.647,0.125,-0.24,1.950833e-05,0.0816091,49,0
100,2063.9766,148.2534,3.823372,25.5439,1.725,0.705,6.27,9.9,3.007,0.591,-84.34,0.000404643,0.0816091,10,0
101,3717.354,174.3513,49.74392,22.7582,3.299,2.843,4.96,7.26,4.878,0.138,47.91,5.714026e-05,0.0816091,150,0
102,2097.8359,153.6858,12.76511,24.2349,2.05,1.808,6.2,9.24,4.54,0.118,45.85,0.0001146702,0.0816091,37,0
103,2339.1975,159.4928,17.32176,23.9035,2.642,2.046,6.18,10.56,5.435,0.226,-12.22,0.0002136071,0.0816091,49,0
104,587.7128,170.625,41.1387,22.9644,2.939,2.77,4.18,6.6,4.206,0.057,-1.44,0.0004836804,0.0816091,129,0
105,2328.5007,192.7352,57.26727,22.6052,4.871,3.179,4.7,7.26,6.725,0.347,75,0.0003138266,0.0816091,204,0
106,3967.2463,176.1835,52.73037,22.6948,3.24,3.19,6.51,10.56,7.7,0.015,27.66,8.171997e-05,0.0816091,130,0
