X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.8179,2457.8235,16.5302017520556,8.779,0.048,-48.79,14.017,13.349,11057,0.20963508972358896
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.4556,336.8585,16.9722194340744,9.119,0.194,79.17,14.763,11.906,9071,0.2705550062209899
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.1428,675.3788,17.1691317154725,10.498,0.282,-45.66,16.999,12.208,9004,0.37120490584855403
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.708,1575.4296,17.5217855658235,9.201,0.362,36.21,15.111,9.645,6417,0.3198452378374651
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.1187,3450.2114,17.601097606675,9.756,0.153,-49.38,13.661,11.574,6633,0.36589106248230663
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.067,1664.8612,17.888963846684,8.257,0.173,-78.48,11.752,9.72,4928,0.30063475412652024
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.387,1383.7588,18.2021311314989,8.637,0.226,-52.66,11.868,9.191,4134,0.32553705033470387
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,620.405,1435.9172,18.1686401729941,9.619,0.252,-27.71,13.083,9.782,4669,0.43627109520495305
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.6104,3768.0393,18.3217476140239,7.758,0.193,-31.09,10.648,8.593,3512,0.3038026238869566
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.0032,2197.321,17.9237139495684,9.694,0.169,-72.59,13.309,11.058,5430,0.3336546174396932
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,400.325524268719,328.26692990035,412848.097141924,3056.9966,2544.2546,18.7534971094834,9.194,0.157,26.92,10.959,9.234,3235,0.4559925484327129
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3937.4097,2567.9016,18.8468874482317,9.695,0.307,27.04,12.605,8.742,3215,0.38135761130370116
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3445.9487,3793.7561,18.7812240342739,7.22,0.087,72.59,9.083,8.291,2647,0.3338324808703617
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,322.929681357621,238.967964204639,242436.229237084,1501.0795,3817.8394,18.8145274145401,7.588,0.197,16.92,9.846,7.908,2705,0.30698890617842195
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1174.8899,1775.4844,18.7607183832916,7.207,0.218,19.61,9.645,7.544,2671,0.31186815922977384
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.3259,1693.3698,18.6195301934218,8.289,0.128,67.87,10.493,9.15,3278,0.3980060918840373
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2753.8313,65.3964,19.1429309822119,7.379,0.258,64.12,9.288,6.888,2100,0.33755235341530704
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3132.4395,919.9099,19.1583174648441,7.54,0.297,-82.68,9.526,6.692,2073,0.4004993853901007
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2087.5229,2688.3264,19.1304931741049,9.033,0.117,-73.56,9.768,8.626,2457,0.47582380401088675
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3568.4385,3363.0793,19.0337427871503,7.269,0.271,27.58,9.623,7.012,2305,0.3685512873773662
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1685.3033,1520.9056,19.1336528249942,7.781,0.091,71.18,8.963,8.145,2300,0.3947843750542824
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1685.7805,1217.3556,19.2456254434077,8.266,0.383,66.32,10.772,6.641,2154,0.4217534304010071
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,842.517,2935.6655,19.2035446387741,8.537,0.295,-29.88,10.619,7.488,2319,0.4349770467927868
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3871.3457,2828.6436,19.2560429456347,7.252,0.164,52.67,8.507,7.111,1966,0.3647637779150319
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.512,530.6877,19.3357688131197,7.465,0.04,-8.3,8.013,7.69,1892,0.41995740356110234
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.3469,1141.3875,19.2180377125344,7.053,0.059,-28.15,7.934,7.468,1959,0.34615125326301527
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1632.2008,205.0877,19.7868503179297,7.272,0.087,-22.31,7.324,6.688,1387,0.5248090550858414
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.7407,526.593,19.8629503869283,8.302,0.145,-46.29,8.115,6.94,1453,0.44093497582265423
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1101.194,423.9857,19.6215858874726,7.944,0.271,87.93,9.173,6.691,1702,0.4193835018027807
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,284.9734,3676.8789,19.4001873587888,7.477,0.062,-47.9,8.176,7.666,1876,0.2822380260898186
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.3088,982.3972,19.8190010390701,7.366,0.297,30.41,8.388,5.897,1388,0.42629766045836126
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,344.432559509766,203.215210110762,219892.431834022,3798.8162,3304.3943,19.7290681720057,8.271,0.342,22.12,9.466,6.232,1573,0.4216036370404914
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,274.661797554018,197.756494238893,170639.230960842,3965.2346,1277.9674,19.9342616764839,7.275,0.216,-10.31,7.817,6.132,1297,0.4271891573918339
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,314.905685656597,201.539638820222,199384.250707878,2018.8574,1819.1945,19.6872231692157,7.788,0.316,-19.89,9.184,6.285,1579,0.41987619712128904
274.4,417.8,19.3290917320778,7.058,0.26,64.8,286.379551524783,211.920868128339,190662.639797164,274.2805,417.99,19.5256010326049,7.195,0.232,67.24,8.522,6.543,1692,0.3955742129857783
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,259.080023586496,194.310017689872,158153.567172328,325.733,2756.1018,19.5994486346766,7.693,0.219,16.37,9.047,7.062,1721,0.22020717060349065
762.4,234.7,19.5973690485455,7.402,0.23,39.5,273.392844798682,210.512490494985,180806.852504886,762.6163,234.8892,19.799225346189,7.361,0.179,34.67,7.772,6.383,1387,0.4077827565604654
179.5,767.5,19.6440123431225,7.405,0.08,13.4,247.830242179309,228.003822804965,177519.596708147,179.2265,767.6769,19.8526276989098,7.323,0.036,-6.42,7.16,6.905,1374,0.422285804972231
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,250.516052370519,237.990249751993,187302.941122346,2802.2349,1727.6954,19.7975799372977,7.289,0.046,-13.88,7.355,7.017,1445,0.45698981787118287
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,336.04701220537,201.628207323222,212863.500595679,1856.6514,3804.1548,19.6215370700367,7.618,0.327,50.35,9.297,6.252,1665,0.47675701255835734
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,280.62060408194,241.333719510468,212758.752064854,681.174,2289.9827,19.6867094555165,8.514,0.087,58.12,8.523,7.785,1730,0.31568256986529114
