X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.8121,2457.8008,16.5307259348825,8.76,0.042,-43.85,13.856,13.274,10923,0.21072145690383887
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.459,336.8698,16.970940692983,9.14,0.202,78.76,14.841,11.839,9076,0.26770197163737797
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.0693,675.5535,17.157453957496,10.647,0.293,-44.75,17.542,12.408,9464,0.3635779737635303
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.8425,1575.3793,17.5209073925798,9.218,0.366,35.17,15.228,9.655,6533,0.314080404829084
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.2142,3450.2158,17.6066726108214,9.679,0.151,-50.98,13.516,11.475,6548,0.37672312628005816
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.1218,1664.7976,17.8904376889352,8.231,0.18,-75.69,11.653,9.551,4775,0.2999403510241571
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.4019,1383.7427,18.2002342070812,8.677,0.252,-51.5,12.166,9.106,4168,0.32187021411325467
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,620.4424,1436.0366,18.1547988143285,9.796,0.262,-27.47,13.547,10.003,4911,0.410442767292149
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.5676,3768.0718,18.323494963368,7.755,0.198,-33.35,10.667,8.559,3561,0.31022478995919167
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.122,2197.1802,17.9196588401519,9.757,0.173,-71.57,13.494,11.165,5568,0.33975869122577174
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,400.325524268719,328.26692990035,412848.097141924,3056.9368,2544.167,18.7612213431852,9.094,0.116,29.31,10.633,9.395,3198,0.46987299450703324
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3937.5298,2567.9429,18.8483669025152,9.661,0.297,28.1,12.445,8.745,3208,0.384456186807342
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3446.05,3793.5317,18.7853621565554,7.22,0.087,72.75,9.051,8.268,2643,0.33728929197799484
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,322.929681357621,238.967964204639,242436.229237084,1501.0594,3817.7996,18.8209622236939,7.504,0.199,15.34,9.708,7.774,2663,0.3170487377659439
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1174.9124,1775.5011,18.7715795391119,7.143,0.214,17.81,9.548,7.503,2639,0.33285256182340944
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.1357,1693.2485,18.6177202348949,8.31,0.133,70.92,10.581,9.178,3316,0.3998859960678106
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2753.8467,65.372,19.1455206409402,7.339,0.25,66.7,9.127,6.843,2070,0.34191120656812357
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3132.6106,919.9482,19.1599236571172,7.539,0.309,-79.93,9.789,6.76,2131,0.4008194006944663
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2087.886,2688.0237,19.1267150763527,9.098,0.08,-76.0,9.666,8.894,2506,0.46450311260062005
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3568.3892,3363.0913,19.0376251410408,7.251,0.255,27.55,9.321,6.942,2202,0.37736296216359194
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1685.2594,1520.5176,19.1448033677679,7.671,0.045,65.14,8.375,8.0,2167,0.409159692408406
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1685.8616,1217.38,19.2250569340326,8.424,0.39,66.8,10.945,6.682,2218,0.3823891703599465
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,842.6919,2935.4822,19.2041075006774,8.537,0.319,-26.58,10.71,7.295,2296,0.43012913968761857
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3871.3496,2828.6848,19.2546051396356,7.285,0.132,52.47,8.551,7.427,2022,0.3625638837868121
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.4624,530.8013,19.3266892536518,7.511,0.059,-12.54,8.07,7.594,1899,0.4045665441052311
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.2688,1141.4048,19.245443358504,6.842,0.079,-27.95,7.736,7.126,1848,0.40176214304534946
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1632.1965,205.1026,19.7416267701399,7.641,0.087,-18.25,7.648,6.98,1490,0.4346718485239297
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.7764,526.9022,19.8842183133887,8.054,0.144,-34.67,8.014,6.862,1453,0.484123138682387
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1101.2993,423.896,19.6271009422944,7.819,0.256,86.83,8.919,6.633,1671,0.42490505103797427
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,284.7822,3676.8118,19.3952082979935,7.482,0.058,-52.94,8.173,7.703,1882,0.2679251305213743
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.4519,982.424,19.8316166734927,7.233,0.278,31.72,8.175,5.903,1363,0.4499383870169321
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,344.432559509766,203.215210110762,219892.431834022,3798.8167,3304.2947,19.7378027442459,8.234,0.328,23.3,9.343,6.278,1593,0.4383540419423253
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,274.661797554018,197.756494238893,170639.230960842,3965.2632,1277.9686,19.9430363413157,7.277,0.229,-11.53,7.878,6.072,1295,0.44392711117651823
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,314.905685656597,201.539638820222,199384.250707878,2018.9618,1819.2404,19.6803268541112,7.829,0.283,-14.62,9.344,6.696,1689,0.40172077742259193
274.4,417.8,19.3290917320778,7.058,0.26,64.8,286.379551524783,211.920868128339,190662.639797164,274.2566,417.8757,19.5356397325872,7.187,0.187,66.34,8.197,6.664,1652,0.4143670739470325
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,259.080023586496,194.310017689872,158153.567172328,325.6096,2755.9358,19.5989255697231,7.689,0.22,16.23,9.054,7.064,1694,0.2102034351425732
762.4,234.7,19.5973690485455,7.402,0.23,39.5,273.392844798682,210.512490494985,180806.852504886,762.654,234.921,19.7952168757294,7.404,0.187,36.33,7.931,6.445,1413,0.40138371762081093
179.5,767.5,19.6440123431225,7.405,0.08,13.4,247.830242179309,228.003822804965,177519.596708147,179.2186,767.5963,19.846113047493,7.347,0.089,-0.7,7.39,6.732,1373,0.40855497161117166
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,250.516052370519,237.990249751993,187302.941122346,2802.3445,1727.8191,19.7799670989221,7.416,0.052,-15.69,7.523,7.134,1485,0.42337072139606996
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,336.04701220537,201.628207323222,212863.500595679,1856.437,3803.9224,19.62180389261,7.61,0.323,53.65,9.082,6.153,1606,0.47181183228498574
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,280.62060408194,241.333719510468,212758.752064854,681.1706,2289.8804,19.6984881239972,8.419,0.102,51.4,8.483,7.621,1695,0.33644438891819206
247.8,1539.3,19.8126185556686,9.391,0.27,47.0,306.559795833985,223.788650958809,215527.717251872,247.7975,1539.1816,20.0569672431836,8.375,0.268,47.54,8.456,6.19,1274,0.4892714788001699
2671.6,3470.5,20.1121621292427,6.173,0.24,48.9,223.976310151688,170.221995715283,119775.401776091,2671.793,3470.542,20.2810795061317,6.812,0.169,42.82,6.786,5.641,985,0.3401342873472349
3347.2,204.1,19.8290454954225,8.176,0.41,87.1,314.927543473459,185.807250649341,183832.873392966,3347.0828,204.3633,20.0438981706654,7.95,0.331,85.78,8.813,5.892,1298,0.43355346977740955
862.9,1191.8,20.1711968626351,6.15,0.09,61.9,201.82779440708,183.663292910443,116453.679042356,862.7482,1191.5958,20.3569479142814,6.727,0.083,61.29,6.35,5.821,934,0.3749727219554221
1272.4,1735.9,20.1990092566513,6.184,0.01,46.8,193.003856507374,191.0738179423,115855.602798208,1272.517,1734.9059,20.25840276479,7.706,0.272,-86.2,8.244,6.005,1113,0.23278535342609039
3231.2,1238.9,20.1816975710561,5.722,0.17,-50.3,202.524096021231,168.094999697621,106950.14304329,3231.2441,1239.0204,20.3836157657974,6.28,0.117,-54.51,6.112,5.395,866,0.40464973186563025
215.9,1419.3,20.044556973411,5.763,0.21,88.5,214.249399364977,169.257025498332,113924.253142367,215.7007,1419.5421,20.2233125337691,6.445,0.189,86.82,6.732,5.463,985,0.3629689718350979
145.0,673.8,20.1446028104667,7.17,0.29,9.8,250.184210686207,177.630789587207,139613.693496102,144.9997,673.901,20.3775110811529,7.064,0.206,9.36,6.964,5.532,949,0.4662544288850406
767.2,2329.7,19.7882596249538,8.374,0.39,-31.9,316.492870677848,193.060651113487,191958.598642336,766.6612,2329.9849,20.0041037852919,8.073,0.327,-31.54,8.872,5.974,1333,0.4485703772788221
