NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,0.7446434,0.3201,3.5,7.92,0.002685197,0.02568904,1365.5156,1.9836,0.869,0.677,0.3,0.222,0.215,1.563
2,1.057209,-0.0604,7.07,7.26,0.003019821,0.02568904,3816.6624,2.8641,0.943,0.688,-20.45,0.27,0.377,2.125
3,0.5785599,0.5941,7.78,7.92,0.002721158,0.02568904,2045.2122,5.4126,0.752,0.453,18.82,0.398,0.044,1.38
4,2.063875,-0.7867,5.6,5.28,0.002755727,0.02568904,2613.2612,2.6125,1.773,1.009,-32.15,0.431,0,2.645
5,0.9900734,0.0108,3.5,3.5,0.002700329,0.02568904,1073.5021,5.4954,1.235,0.72,55,0.418,0.056,1.901
6,0.5356911,0.6777,3.5,4.62,0.003019821,0.02568904,3573.1833,8.8086,0.758,0.562,-42.2,0.258,0.015,1.038
7,1.135808,-0.1383,3.5,6.6,0.002693462,0.02568904,1150.8447,3.3332,1.447,0.857,-59.52,0.408,0,1.874
8,4.085397,-1.5281,5.82,4.62,0.002684076,0.02568904,1323.9204,2.9278,2.292,1.344,-21.56,0.414,0,3.102
9,3.139106,-1.242,3.5,5.94,0.002749536,0.02568904,2470.1494,3.3776,2.193,1.572,14.79,0.283,0,2.776
10,2.670813,-1.0666,6.88,5.94,0.002703551,0.02568904,1822.2153,8.439,1.454,0.981,-77.93,0.325,0,4.59
11,0.8966301,0.1185,8.16,5.94,0.001733215,0.02568904,9.5939,16.1937,0.744,0.45,-70.59,0.396,0.005,1.687
12,4.830508,-1.71,4.82,5.94,0.002714874,0.02568904,894.445,3.3452,1.987,1.665,24.26,0.162,0.001,2.89
13,2.247432,-0.8792,4.96,6.6,0.002686578,0.02568904,739.3304,10.2116,1.535,1.16,36.89,0.244,0,3.447
14,0.7979608,0.245,4.59,4.62,0.0028003,0.02568904,2881.7664,19.5847,0.754,0.452,18.98,0.401,0.494,1.813
15,1.688859,-0.569,6.52,4.62,0.002303293,0.02568904,447.106,12.9736,1.405,0.871,39.47,0.381,0.009,2.652
16,0.8933136,0.1225,3.65,4.62,0.002756921,0.02568904,2582.405,17.5528,1.039,0.873,-43.84,0.16,0.25,1.507
17,0.9294816,0.0794,3.5,3.5,0.002760388,0.02568904,2656.4717,17.7122,1.154,0.665,-38.1,0.423,0.004,2.039
18,3.897947,-1.4771,3.9,5.94,0.003005258,0.02568904,3862.7004,5.3795,2.38,1.761,-34.94,0.26,0,3.122
19,3.31162,-1.3001,4.63,5.94,0.002502376,0.02568904,601.0079,5.0494,2.694,1.634,-59.38,0.393,0,2.912
20,2.206333,-0.8592,3.5,5.94,0.002703047,0.02568904,1805.5554,11.3239,1.933,1.354,31.29,0.3,0,2.399
21,0.8524528,0.1733,3.5,7.92,0.002974807,0.02568904,3909.0459,24.3574,1.202,0.479,-0.5,0.602,0.001,1.906
22,2.036561,-0.7722,5.01,3.96,0.002548141,0.02568904,633.0616,14.2896,1.8,1.367,43.9,0.241,0.019,3.136
23,4.762061,-1.6945,3.5,5.28,0.002795411,0.02568904,4180.4458,4.121,2.236,2.053,-29.93,0.082,0,3.239
24,2.800714,-1.1182,6.37,3.5,0.002820566,0.02568904,4141.8633,14.9002,2.35,1.229,-33.02,0.477,0,3.955
25,1.386078,-0.3545,3.5,5.28,0.002698757,0.02568904,1602.9866,22.4981,1.533,0.877,0.35,0.428,0.001,1.812
26,4.078151,-1.5262,3.5,8.58,0.002765059,0.02568904,2807.6814,7.0674,2.438,1.888,-69.68,0.226,0,3.982
27,1.231088,-0.2257,4.34,4.62,0.002858802,0.02568904,3001.7659,17.3388,1.331,0.771,-84.55,0.42,0.027,2.238
28,0.6399592,0.4846,6.86,7.26,0.002752815,0.02568904,2469.6033,25.7955,0.774,0.444,71,0.427,0.03,1.612
29,1.082411,-0.086,3.5,7.92,0.003019821,0.02568904,3822.6619,22.6709,1.204,0.77,-45.47,0.361,0.012,1.496
30,3.049985,-1.2107,4.61,6.6,0.003019821,0.02568904,3701.9443,15.6095,1.745,1.378,67.55,0.21,0.001,2.602
31,338.5521,-6.3241,3.5,5.28,0.002513806,0.02568904,447.5704,318.8379,11.047,7.013,56.76,0.365,0.001,9.831
32,248.0332,-5.9863,3.5,4.62,0.002793201,0.02568904,2609.6008,217.1102,8.197,5.611,-66.76,0.316,0.029,7.291
33,950.1377,-7.4445,3.5,4.62,0.002750597,0.02568904,1632.2128,205.1842,9.007,7.978,-26.31,0.114,0.037,8.996
34,103.8505,-5.041,3.5,5.28,0.003019821,0.02568904,3785.7026,150.4835,7.201,5.03,5.87,0.302,0.001,6.684
35,253.4034,-6.0095,3.5,5.28,0.002768771,0.02568904,2527.9619,110.383,7.661,6.035,-83.42,0.212,0.029,7.495
36,182.226,-5.6515,3.5,5.28,0.002042151,0.02568904,184.4503,87.4909,8.611,5.473,30.46,0.364,0.001,8.405
37,19.52706,-3.2266,3.65,5.28,0.002723231,0.02568904,1854.1721,76.213,4.682,3.306,-77.08,0.294,0,4.828
38,1596.441,-8.0079,3.5,4.62,0.00277484,0.02568904,2753.7937,65.3294,9.043,6.79,64.56,0.249,0.108,8.183
39,326.3089,-6.2841,3.5,5.28,0.002747363,0.02568904,2281.5317,64.5342,8.265,7.176,-56.77,0.132,0.026,8.856
40,119.6804,-5.1951,3.5,5.28,0.002716535,0.02568904,1055.6608,71.7726,6.18,4.71,-79.59,0.238,0.026,6.298
41,37.82925,-3.9446,3.5,4.62,0.002724501,0.02568904,1906.9541,68.2981,3.542,3.258,-44.44,0.08,0.028,3.645
42,106.1735,-5.065,3.5,5.28,0.002663889,0.02568904,710.5361,72.7865,5.279,4.685,84.96,0.112,0.024,5.715
43,27.26228,-3.5889,3.5,5.94,0.002752754,0.02568904,2370.8342,66.3715,4.545,3.488,74.79,0.233,0.001,4.674
44,43.93781,-4.1071,3.5,6.6,0.002865364,0.02568904,3000.5767,65.5218,4.658,4.207,-18.43,0.097,0.001,5.649
45,30.51605,-3.7113,3.5,5.28,0.003019821,0.02568904,3813.9651,55.1677,5.582,3.635,-18.54,0.349,0,5.57
46,220.3822,-5.8579,3.5,5.28,0.003015188,0.02568904,3847.7468,54.6204,6.49,5.949,3.04,0.083,0.033,7.14
47,148.4052,-5.4286,3.5,5.28,0.002712508,0.02568904,1791.493,50.0335,7.363,5.284,45.41,0.282,0.001,7.388
48,8.269633,-2.2937,3.96,5.94,0.002774466,0.02568904,2785.1084,55.1436,3.446,2.714,-87.99,0.212,0,4.479
49,513.6017,-6.7766,3.5,4.62,0.003019821,0.02568904,3409.0662,34.5612,8.254,6.689,-18.25,0.19,0.037,7.9
50,32.49379,-3.7795,3.5,5.94,0.003019821,0.02568904,3376.6917,23.5103,6.145,3.774,-5.7,0.386,0,6.631
51,11.26038,-2.6289,3.5,5.28,0.002708814,0.02568904,1726.1442,43.7548,4.834,2.777,-72.42,0.426,0,5.558
52,6.617302,-2.0517,3.5,4.62,0.002702906,0.02568904,1592.7639,37.6865,3.314,2.16,84.28,0.348,0,3.807
53,17.77367,-3.1244,3.7,5.28,0.001960316,0.02568904,158.9986,42.7327,3.488,2.912,-73.29,0.165,0.001,4.054
54,19.50984,-3.2256,3.99,5.94,0.002512773,0.02568904,597.244,42.4543,4.031,3.856,-4.71,0.043,0,5.44
55,51.65067,-4.2827,3.58,5.94,0.002695272,0.02568904,1213.5215,28.755,6.757,4.676,-41.34,0.308,0,7.455
56,24.48539,-3.4723,4.81,7.26,0.001912443,0.02568904,126.1926,37.8424,4.848,3.876,-37.06,0.2,0,6.833
57,7.064606,-2.1227,5.53,5.94,0.002085034,0.02568904,260.6632,39.027,3.365,2.228,-56.43,0.338,0,3.8
58,73.27805,-4.6624,3.5,5.94,0.002983707,0.02568904,3254.8811,26.7651,5.847,4.63,86.25,0.208,0.001,6.403
59,15.08766,-2.9466,3.5,5.28,0.002930349,0.02568904,3143.7983,36.8632,3.649,2.693,31.39,0.262,0,4.18
60,13.31325,-2.8107,3.5,4.62,0.002932701,0.02568904,3150.4468,30.0684,2.779,2.616,-12.9,0.059,0.001,3.295
61,43.26722,-4.0904,3.5,5.94,0.003019821,0.02568904,3758.6013,43.3931,4.398,4.093,-6.21,0.069,0.001,5.211
62,6.642811,-2.0559,3.5,5.94,0.002701471,0.02568904,1557.1355,36.817,3.296,2.296,-89.52,0.303,0,4.203
63,8.536866,-2.3282,5.82,5.28,0.001786334,0.02568904,28.5139,36.1672,2.891,2.103,81.33,0.273,0,4.166
64,6.290107,-1.9966,5.59,5.94,0.003019821,0.02568904,3778.2205,34.8989,3.017,2.033,-70.71,0.326,0,5.149
65,64.92074,-4.531,3.5,5.28,0.002723991,0.02568904,829.6601,29.0846,4.129,3.541,13.65,0.142,0.029,4.101
66,18.74128,-3.182,4.32,8.58,0.002866406,0.02568904,3007.8826,50.3667,4.702,3.093,57.65,0.342,0,6.622
67,9.876163,-2.4865,6.43,10.56,0.002853181,0.02568904,2986.3933,31.7965,3.513,1.969,2.86,0.439,0,7.665
68,10.09104,-2.5098,3.5,5.28,0.003019821,0.02568904,3493.0088,32.6258,3.357,2.434,12.77,0.275,0,3.774
69,13.48901,-2.8249,3.5,5.28,0.002693147,0.02568904,1351.7495,30.8463,2.849,2.756,40.35,0.033,0.001,3.304
70,7.839668,-2.2357,4.22,5.94,0.002695292,0.02568904,1436.0242,29.3496,3.265,2.676,61.42,0.18,0,4.498
71,5.233757,-1.797,3.5,5.94,0.002353491,0.02568904,477.3078,29.7737,3.4,1.719,67.34,0.495,0,3.574
72,11.65556,-2.6663,3.85,5.28,0.002760581,0.02568904,2621.6978,28.1331,3.189,2.543,-39.92,0.203,0,4.179
73,8.78506,-2.3594,3.5,5.94,0.003019821,0.02568904,3697.1731,24.2529,3.446,2.593,45.6,0.248,0,4.346
74,35.0282,-3.861,3.5,5.28,0.002718501,0.02568904,888.3959,22.2609,5.375,3.251,18.06,0.395,0.001,5.534
75,27.05369,-3.5806,3.5,6.6,0.002747957,0.02568904,2388.4248,18.7101,4.629,3.501,-26.22,0.244,0,5.277
76,9.706884,-2.4677,3.5,5.94,0.002864257,0.02568904,4075.9612,29.5648,3.923,3.11,57.87,0.207,0,5.101
77,20.28079,-3.2677,3.72,5.28,0.002712448,0.02568904,968.5128,23.1787,3.891,3.286,13.8,0.155,0,4.969
78,2.848962,-1.1367,6.46,5.28,0.002305744,0.02568904,441.885,25.9464,1.985,1.29,82.26,0.35,0,3.207
79,4.902011,-1.7259,5.16,5.28,0.003019821,0.02568904,3796.1885,24.7984,2.236,2.003,24.47,0.104,0,3.627
80,2.925136,-1.1654,4.62,5.28,0.002710351,0.02568904,1853.2441,24.9045,2.15,1.459,69.35,0.321,0,3.051
81,2.865201,-1.1429,3.5,3.5,0.00246142,0.02568904,563.5043,22.4901,2.626,1.962,15.66,0.253,0,3.958
82,151.9505,-5.4543,3.5,5.28,0.002175401,0.02568904,351.1067,11.1449,5.693,4.812,-45.19,0.155,0.029,6.114
83,25.72174,-3.5258,3.5,5.28,0.002784157,0.02568904,4197.0415,12.6076,4.357,2.258,84.26,0.482,0.047,3.539
84,5.808388,-1.9101,4.48,5.28,0.003019821,0.02568904,3812.1143,16.6581,5.214,2.067,46.68,0.603,0,4.221
85,4.547029,-1.6443,3.5,5.94,0.003019821,0.02568904,3828.1267,18.0471,3.826,2.701,-37.6,0.294,0,2.954
86,111.2033,-5.1153,3.5,5.28,0.003019821,0.02568904,3750.8325,8.9673,5.723,4.731,-7.76,0.173,0.021,5.964
87,1.02714,-0.0291,6.77,5.28,0.002763763,0.02568904,2710.5366,22.1833,1.897,0.699,-20.79,0.631,0,2.303
88,15.61125,-2.9836,3.5,5.28,0.002851017,0.02568904,4095.7637,17.6406,3.001,2.756,-35.83,0.082,0.001,3.403
89,2.626314,-1.0484,6.3,5.28,0.00232182,0.02568904,455.5052,22.7887,1.649,1.217,36.66,0.262,0.001,4.479
90,73.45875,-4.6651,3.5,5.94,0.002684147,0.02568904,1299.6353,6.4455,5.804,4.455,-5.13,0.232,0.001,6.108
91,18.56544,-3.1718,3.5,5.28,0.002682714,0.02568904,1280.201,3.4387,4.425,2.258,-8.76,0.49,0.001,4.415
92,4.746776,-1.691,3.5,3.5,0.002692853,0.02568904,1448.6682,18.8428,3.074,1.991,40.82,0.352,0,3.855
93,32.65492,-3.7849,4.3,5.94,0.002527918,0.02568904,617.1831,16.1194,5.445,3.186,-51.16,0.415,0,5.764
94,53.6699,-4.3243,3.5,5.28,0.001950036,0.02568904,180.0379,11.0406,3.998,3.704,25.65,0.074,0.028,4.325
95,2.938287,-1.1702,3.5,5.28,0.00268856,0.02568904,1344.6345,15.8822,2.353,1.818,-68.42,0.227,0,3.257
96,6.779825,-2.078,3.5,7.26,0.002261066,0.02568904,415.7367,11.0745,3.1,2.827,-4.56,0.088,0,5.211
97,8.386249,-2.3089,4.17,5.28,0.002870944,0.02568904,3027.8108,11.968,3.082,2.574,-23.61,0.165,0,3.615
98,14.59265,-2.9103,3.5,5.94,0.002707958,0.02568904,1867.4669,11.3267,3.178,2.777,-19.97,0.126,0.001,3.632
99,84.06361,-4.8115,3.5,5.28,0.002697533,0.02568904,1700.2719,6.0919,5.256,3.732,-1.78,0.29,0.081,5.136
