NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,0.7304668,0.341,3.59,6.6,0.01208411,0.02591185,651.8795,2.1454,0.859,0.664,43.53,0.228,0.243,1.472
2,0.5800675,0.5913,3.51,6.6,0.01156458,0.02591185,1595.5878,2.2224,0.756,0.451,-71.02,0.403,0,1.253
3,0.7141708,0.3655,5.72,3.96,0.0114349,0.02591185,2528.7466,4.5672,0.728,0.46,18.98,0.367,0.084,1.091
4,0.7644972,0.2916,7.32,4.62,0.01118897,0.02591185,1917.1875,3.1615,0.761,0.57,46.81,0.251,0.199,1.451
5,1.166398,-0.1671,6.08,5.94,0.01146073,0.02591185,2612.0457,2.2852,1.266,0.865,30.35,0.317,0.006,1.939
6,1.779651,-0.6258,7.13,5.28,0.01111436,0.02591185,3239.603,2.4619,1.75,0.812,16.8,0.536,0.001,2.852
7,0.6642411,0.4442,5.41,7.92,0.01163428,0.02591185,1565.981,6.0115,0.913,0.529,-44.23,0.42,0.035,1.434
8,1.759524,-0.6135,3.5,3.5,0.01141227,0.02591185,2471.522,3.1293,1.622,1.109,-30.92,0.316,0.014,2.107
9,1.267727,-0.2576,3.5,6.6,0.01170829,0.02591185,1531.458,3.8765,1.217,1.06,-55.26,0.129,0,1.88
10,0.6504518,0.467,3.5,6.6,0.01301308,0.02591185,4065.7014,9.0033,0.741,0.667,86.48,0.099,0.189,1.215
11,2.15005,-0.8311,3.5,4.62,0.01140295,0.02591185,2432.9534,7.1303,2.068,1.096,-12.76,0.47,0,3.047
12,0.8957047,0.1196,3.5,3.96,0.01143899,0.02591185,1660.3573,11.9307,1.053,0.754,-15.15,0.284,0.007,2.034
13,2.031054,-0.7693,4.47,5.94,0.01297855,0.02591185,3863.3159,5.27,1.949,1.346,-11.22,0.309,0.001,2.293
14,1.094897,-0.0984,3.5,5.28,0.01180745,0.02591185,458.3488,8.0229,1.808,0.904,24.95,0.5,0.007,2.142
15,2.049955,-0.7794,6.52,3.96,0.01126989,0.02591185,3389.4309,7.4472,1.624,1.06,-8.54,0.347,0.001,2.613
16,1.488621,-0.432,4.11,3.5,0.01135236,0.02591185,2282.7612,10.7443,1.949,0.897,5.12,0.54,0.007,2.546
17,0.7928818,0.252,3.5,5.28,0.01129769,0.02591185,2143.3645,13.1114,1.038,0.753,13.49,0.275,0.002,1.468
18,2.944036,-1.1724,3.5,3.5,0.01303134,0.02591185,4180.6807,3.5476,2.01,1.48,-31.99,0.264,0,2.362
19,1.907482,-0.7012,3.8,5.28,0.01153607,0.02591185,2809.1638,6.3774,1.449,1.287,44,0.112,0,2.009
20,1.175643,-0.1757,7.1,7.26,0.01154761,0.02591185,2821.2798,15.3275,1.23,0.629,0.79,0.488,0.006,2.203
21,0.4433378,0.8832,6.69,0,0.01222924,0.02591185,753.2438,13.5091,1.184,0.539,-68.48,0.545,0.035,1.41
22,0.8109684,0.2275,7.97,4.62,0.01126764,0.02591185,2068.5859,13.2802,1.004,0.474,81.32,0.528,0.006,1.599
23,2.027559,-0.7674,5.8,6.6,0.0112796,0.02591185,2094.7998,13.5411,1.296,0.928,31.71,0.284,0,2.644
24,0.88024,0.1385,5.27,4.62,0.01225202,0.02591185,1018.8434,16.1024,0.839,0.676,46.19,0.194,0.006,1.646
25,0.6410403,0.4828,5.02,6.6,0.0113217,0.02591185,2192.9944,15.9627,0.904,0.532,-45.41,0.412,0.063,1.441
26,0.7815681,0.2676,6.25,6.6,0.0127643,0.02591185,3782.8357,18.3583,0.77,0.439,-17.77,0.43,0.423,1.487
