NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,0.8214316,0.2136,4.94,3.5,0.01034026,0.02767048,500.6378,2.5998,1.044,0.467,-9.05,0.552,0.942,1.779
2,0.8868424,0.1304,6.73,7.92,0.009320458,0.02767048,2762.2146,2.3765,0.758,0.449,17.34,0.408,0.984,2.029
3,0.6799237,0.4188,4.16,7.92,0.006384701,0.02767048,4152.2124,2.6195,0.766,0.444,-18.24,0.42,0.108,1.374
4,0.5640678,0.6217,5.29,7.26,0.007038453,0.02767048,4046.1348,1.8979,0.855,0.673,43.5,0.213,0.291,1.424
5,0.735043,0.3342,3.5,5.94,0.008489846,0.02767048,3282.8906,2.286,0.933,0.673,69.27,0.278,0.008,1.257
6,0.7702476,0.2834,3.5,3.5,0.008807961,0.02767048,1306.0249,5.2772,0.726,0.693,8.47,0.047,0.845,1.423
7,0.6067063,0.5426,3.5,8.58,0.008975807,0.02767048,2941.4204,4.7793,0.758,0.448,-70.24,0.408,0.544,1.296
8,0.6144761,0.5287,6.55,5.28,0.00858716,0.02767048,889.5912,6.7928,0.743,0.453,71.13,0.39,0.042,1.438
9,0.2748623,1.4022,6.97,5.28,0.009343496,0.02767048,1443.8416,6.8424,0.752,0.571,46.93,0.241,0.449,0.687
10,0.6257004,0.5091,5.23,3.5,0.009832525,0.02767048,1569.8282,7.141,0.773,0.568,-50.58,0.266,0.733,1.485
11,0.6492291,0.469,7.55,3.5,0.008773214,0.02767048,3083.3423,6.8192,0.749,0.657,24.16,0.123,0.233,1.406
12,1.761653,-0.6148,5.36,5.28,0.009764584,0.02767048,587.4951,2.9061,1.338,1.231,-72.95,0.08,0.047,2.275
13,1.251426,-0.2435,3.5,3.5,0.009087864,0.02767048,1378.0774,2.8128,1.309,0.86,-75.7,0.343,0.005,2.074
14,1.148883,-0.1507,3.5,6.6,0.008365271,0.02767048,3592.4727,2.5093,1.253,1.027,-46.33,0.18,0.014,2.031
15,1.185287,-0.1846,6,4.62,0.01069872,0.02767048,2016.3553,5.8209,1.154,0.673,37.7,0.417,0.014,1.711
16,1.562223,-0.4844,6.22,5.94,0.01069733,0.02767048,2144.1609,7.8333,1.392,0.715,1.62,0.487,0.003,2.381
17,0.9960833,0.0043,4.51,3.5,0.008606074,0.02767048,955.0692,3.4093,1.255,0.978,43.05,0.221,0.01,1.625
18,0.7541192,0.3064,6.64,4.62,0.007858915,0.02767048,3914.5828,10.1994,0.75,0.449,-70.11,0.402,0.938,1.581
19,1.157726,-0.159,5.69,3.5,0.01228639,0.02767048,210.3979,7.2324,1.57,0.81,-20.62,0.484,0.012,1.988
20,2.596787,-1.0361,3.5,3.5,0.01014113,0.02767048,1648.6973,3.3369,1.822,1.521,21.53,0.165,0,2.545
21,1.171143,-0.1715,3.5,3.5,0.008404871,0.02767048,3415.6736,6.159,1.223,1.032,-81.42,0.156,0.001,1.929
22,0.9208853,0.0895,3.5,7.92,0.009722041,0.02767048,2626.9863,10.9965,1.454,0.555,13.48,0.618,0.779,2.145
23,0.3699008,1.0798,5.13,5.94,0.01052834,0.02767048,472.7831,13.3926,0.745,0.453,-17.91,0.392,0.122,0.872
24,1.608047,-0.5157,3.5,5.94,0.009060414,0.02767048,1371.4147,4.7231,1.484,1.347,-40,0.092,0,2.272
25,1.484814,-0.4292,6.21,4.62,0.01293969,0.02767048,111.9368,9.5715,1.35,0.902,-0.09,0.332,0.003,2.082
26,1.19033,-0.1892,6.79,5.28,0.01225831,0.02767048,214.4268,9.98,1.363,0.799,-21.72,0.414,0.008,2.27
27,0.6637537,0.445,7.28,3.96,0.008662921,0.02767048,1127.0098,10.539,0.844,0.688,89.92,0.185,0.057,1.216
28,1.344972,-0.3218,5.39,5.28,0.009521505,0.02767048,2694.5193,3.9502,1.979,0.669,60.72,0.662,0.011,2.958
29,1.028357,-0.0304,3.5,7.26,0.01069664,0.02767048,2007.6448,8.9306,1.445,0.639,-56.51,0.558,0.009,1.713
30,0.7028278,0.3829,3.5,4.62,0.009781073,0.02767048,2606.9546,12.5128,0.793,0.706,86.67,0.11,0.013,1.108
31,1.508225,-0.4462,7.2,7.26,0.00839568,0.02767048,3460.0127,12.5017,1.105,0.74,47.73,0.331,0.009,4.902
32,2.628613,-1.0493,6.69,3.5,0.008696684,0.02767048,1236.2655,7.7202,1.301,0.97,-78.54,0.255,0.013,3.944
