NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,6623.27,-9.5527,3.5,3.5,0.006104088,0.02752947,387.2114,454.1858,18.812,11.117,-41.68,0.409,0.035,10.013
2,1356.598,-7.8311,3.5,3.96,0.003246181,0.02752947,3502.7952,419.2819,10.806,9.675,85.97,0.105,0.03,8.113
3,2637.501,-8.553,3.5,3.5,0.003556255,0.02752947,2043.1777,360.8623,11.802,10.647,21.73,0.098,0.032,7.98
4,631.2406,-7.0005,3.5,5.28,0.006492503,0.02752947,424.9442,166.06,9.622,8.413,-45.31,0.126,0.03,8.373
5,579.2568,-6.9072,3.5,4.62,0.003094403,0.02752947,795.0992,112.3352,9.354,7.448,87.69,0.204,0.029,7.072
6,120.9427,-5.2064,3.58,5.94,0.00336649,0.02752947,3260.3337,116.588,6.448,5.306,-24.65,0.177,0.02,6.167
7,30.38268,-3.7066,3.73,4.62,0.003419574,0.02752947,3134.6938,118.5687,3.927,3.682,-37.91,0.063,0.001,4.715
8,51.62654,-4.2822,4.35,7.26,0.003556255,0.02752947,2105.0742,90.6557,6.598,4.338,43.88,0.343,0,8.184
9,287.6595,-6.1472,3.5,5.28,0.003556255,0.02752947,1917.9973,52.7682,7.23,6.169,-68.92,0.147,0.029,6.423
10,91.46391,-4.9031,4.27,7.26,0.003556255,0.02752947,2177.1833,62.4389,6.825,5.545,38.25,0.188,0.002,7.266
11,7.960614,-2.2524,4.4,5.28,0.003556255,0.02752947,2180.0283,46.675,4.371,1.785,48.73,0.592,0,4.001
12,305.5634,-6.2128,3.5,5.28,0.003556255,0.02752947,2247.6736,10.7908,8.627,6.246,-68.82,0.276,0.03,6.713
13,12.26847,-2.722,3.5,5.94,0.003556255,0.02752947,2224.0688,28.7895,3.183,2.504,-23.55,0.213,0,3.899
14,36.54705,-3.9071,3.61,6.6,0.00326218,0.02752947,1409.549,57.1869,4.729,3.842,-38.24,0.188,0.001,5.529
15,39.31201,-3.9863,4.28,6.6,0.003148552,0.02752947,1206.8357,55.0471,4.565,3.939,14.81,0.137,0.001,5.288
16,8.996626,-2.3852,5.59,5.28,0.003146898,0.02752947,1205.0299,37.7026,2.718,2.191,56.38,0.194,0,5.268
17,30.91964,-3.7256,4.15,5.94,0.002585617,0.02752947,3987.7065,48.7295,4.66,4.083,-35.19,0.124,0,5.73
18,45.69643,-4.1497,3.9,5.28,0.003089676,0.02752947,3601.4258,52.1589,4.595,3.742,-2.27,0.186,0.001,5.12
19,6.837551,-2.0873,6.01,3.5,0.00319845,0.02752947,1327.0898,45.3078,2.39,2.329,-61.36,0.025,0,5.77
20,57.15786,-4.3927,3.5,5.94,0.003470259,0.02752947,1681.4285,47.3918,4.304,3.819,16.73,0.113,0.028,4.352
21,35.16338,-3.8652,3.87,7.26,0.003556255,0.02752947,2013.3582,110.4774,5.189,3.845,26.98,0.259,0,5.434
22,22.08529,-3.3603,4.33,5.94,0.003556255,0.02752947,2448.8828,42.9061,3.701,2.966,-38.41,0.199,0,4.684
23,16.79819,-3.0632,6.56,9.24,0.003097046,0.02752947,973.2184,37.2603,3.341,2.772,83.24,0.17,0,8.946
24,272.8258,-6.0897,3.5,5.28,0.003094514,0.02752947,995.2065,11.3832,7.299,6.173,19.71,0.154,0.032,6.501
25,4.507118,-1.6347,3.5,4.62,0.002724249,0.02752947,3900.3975,35.924,2.975,2.511,-60.09,0.156,0,4.088
