X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,601.8564,2457.8818,16.4380375790385,9.251,0.065,-65.35,9.536,8.92,5431,0.03080730020677056
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4024.5955,337.1158,16.8579121748822,9.994,0.174,78.91,10.831,8.948,5329,0.047617479696053996
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2912.6006,675.1121,17.015667408576,12.37,0.229,-49.36,13.851,10.676,7236,0.0491439190801089
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3266.7876,1575.2644,17.3832551343072,10.458,0.327,33.96,12.434,8.37,5144,0.05207479431735904
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,550.1376,3450.1877,17.4365679558233,11.548,0.157,-50.68,12.312,10.385,5900,0.0417591425599999
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,647.1697,1664.7126,17.7580450039304,9.09,0.161,-76.75,9.759,8.191,3799,0.05169745146537106
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3643.397,1383.9819,18.050040256697,9.88,0.219,-49.05,10.865,8.491,3938,0.03265748132355068
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,620.399,1436.024,17.9718385968407,11.926,0.26,-26.27,13.298,9.834,5233,0.06439522587466902
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2329.1067,3768.2148,18.1963819693479,8.384,0.197,-44.48,9.201,7.389,3078,0.041408418120549226
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,111.5827,2197.3572,17.7746099581737,11.07,0.196,-81.57,12.068,9.704,4939,0.10324680372905985
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3056.6492,2544.2495,18.5567270855338,11.367,0.144,34.06,11.706,10.026,4167,0.06014108781367624
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3937.4019,2567.97,18.6792467474073,11.593,0.276,25.47,13.238,9.582,4229,0.05979027598342922
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3445.5017,3793.4006,18.6480328648402,7.864,0.14,-88.58,8.236,7.08,2452,0.05485452092679271
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,67.1079351733339,49.6598720282671,10469.5820564768,1500.9731,3817.6057,18.6774353137448,8.285,0.205,11.46,9.039,7.187,2653,0.045870918430596715
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,64.5400914590715,47.1142667651222,9552.82640606506,1175.062,1775.5934,18.6300073810392,7.845,0.195,18.98,8.471,6.82,2467,0.05168344417858229
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,76.8922278424794,64.5894713876827,15602.4948194647,1513.1945,1693.7537,18.4409413399964,9.718,0.097,51.92,9.944,8.981,3510,0.03198962550199825
2753.8,65.1,18.976807254764,6.826,0.33,65.2,67.9812049237334,45.5474072989014,9727.52579712067,2753.865,65.2883,18.9926797241077,8.183,0.253,64.52,9.058,6.767,2370,0.05093904109144485
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,76.0651035064347,47.9210152090539,11451.4727321584,3132.5713,920.0612,18.9784331199871,8.752,0.302,-82.46,9.874,6.894,2540,0.055625673440404866
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,86.7778967002815,74.6289911622421,20345.415480385,2087.7637,2688.0391,18.9152555122515,11.356,0.12,-73.82,11.376,10.011,3689,0.056950473284287775
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,68.7522639703358,46.7515394998284,10097.9401653139,3568.4788,3363.1707,18.8759824660989,8.192,0.256,29.38,9.12,6.783,2425,0.06620029844407982
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,63.9570705917172,62.0383584739657,12465.1851687154,1685.2697,1520.588,18.9661969747786,8.94,0.044,75.38,8.728,8.347,2651,0.059887086652546676
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,90.4568361861151,48.8466915405022,13881.1810964667,1685.7601,1217.3032,19.0443300986535,9.898,0.389,66.13,11.674,7.136,2835,0.06255220067655598
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,93.7952244868955,52.5253257126615,15477.4480162447,842.8953,2935.668,19.0176848546757,10.269,0.362,-29.79,11.988,7.644,3056,0.057853992220309326
