X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.8689,2457.8374,16.5218700322584,8.863,0.081,-68.53,15.044,13.826,14659,0.19252030396882336
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.5859,337.0766,16.9541611966428,9.296,0.181,76.93,16.284,13.341,13528,0.23012542497188304
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.614,675.0275,17.1288768667914,10.989,0.248,-49.24,19.509,14.662,15038,0.2659888954133265
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.7471,1575.3147,17.4964824919171,9.455,0.333,34.07,16.9,11.271,10053,0.2652978171792237
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.0594,3450.231,17.5628854746397,10.21,0.17,-51.27,16.314,13.543,10846,0.2909747205394847
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.0812,1664.7842,17.8636240145674,8.512,0.172,-75.49,13.636,11.292,7949,0.24771484765907134
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.4836,1383.9583,18.1902174972129,8.758,0.197,-47.86,12.836,10.31,5878,0.29993821544900034
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,620.3775,1435.8927,18.1292254989543,10.072,0.249,-28.05,15.544,11.68,7760,0.35771897606474473
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2329.0715,3768.2844,18.3120657094545,7.82,0.201,-40.27,11.661,9.321,4987,0.26420818090475273
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.1098,2197.29,17.9402733954904,9.462,0.278,-84.05,14.952,10.794,7306,0.3131221478991549
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,400.325524268719,328.26692990035,412848.097141924,3057.1289,2544.1711,18.7061317404717,9.739,0.139,21.61,13.724,11.822,5917,0.36745505925639727
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3937.3953,2567.8958,18.863298759516,9.543,0.22,32.65,13.054,10.184,4733,0.4141837217911153
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3445.5322,3793.5662,18.7594386731045,7.387,0.158,-84.12,10.594,8.915,4076,0.27543393958980666
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,322.929681357621,238.967964204639,242436.229237084,1501.0745,3817.8508,18.7802998125988,7.892,0.228,11.36,11.974,9.244,4581,0.24308877720982494
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1175.0327,1775.5668,18.7394341555163,7.394,0.215,18.56,10.998,8.628,4142,0.26711467686231277
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.3944,1693.6422,18.5793757884047,8.665,0.105,51.92,12.051,10.79,5367,0.31152009470352254
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2753.8201,65.3767,19.1299170113515,7.495,0.267,63.96,10.723,7.856,3292,0.3112057544548647
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3132.481,919.9222,19.131608523591,7.758,0.314,-79.52,11.552,7.92,3485,0.34648161094011015
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2087.5459,2688.3064,19.0984400677024,9.379,0.087,-75.24,11.758,10.731,4316,0.4120012463985589
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3568.4651,3363.0847,18.9965584043787,7.58,0.306,24.42,11.774,8.168,3850,0.2941519399112436
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1685.1766,1520.6189,19.1254570883896,7.863,0.074,-82.27,10.181,9.431,3573,0.37293537027482754
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1685.7333,1217.3965,19.2170709317303,8.537,0.384,64.98,12.955,7.978,3641,0.3674926563348636
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,842.7992,2935.9102,19.1821885799081,8.75,0.326,-31.7,12.626,8.512,3746,0.38829576817617417
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3871.3059,2828.585,19.2296508665882,7.474,0.168,58.83,10.15,8.449,3231,0.3133145185905997
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.5454,530.7707,19.3040174737399,7.731,0.049,-6.17,9.604,9.135,3206,0.35738115362511147
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.3796,1141.389,19.1958238615584,7.229,0.065,-34.26,9.392,8.78,3203,0.3016712365971321
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1632.1562,205.13,19.771749561173,7.382,0.069,-21.52,8.624,8.027,2302,0.49545843386711436
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.8137,526.7148,19.8834109165894,8.128,0.143,-53.61,9.702,8.314,2422,0.48050232251870933
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1101.2518,423.993,19.6204189988803,7.955,0.275,85.16,10.753,7.799,2749,0.41713120269419973
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,284.9438,3676.9402,19.3994873899992,7.489,0.09,-53.58,9.142,8.32,2672,0.2829022423010652
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.2854,982.4,19.8103431196716,7.455,0.323,31.64,10.402,7.041,2389,0.4095182174400095
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,344.432559509766,203.215210110762,219892.431834022,3798.8,3304.3936,19.7235897208332,8.338,0.326,21.93,11.586,7.805,2812,0.4114572834838521
