X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,526.8515,2786.6738,16.8668831299491,12.452,0.401,-38.62,15.63,9.369,7502,0.056710417342920226
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,387.2185,454.1391,17.3159378745326,11.355,0.402,-41.52,14.151,8.461,5474,0.04219949305762719
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2460.3386,1071.5536,17.6124128374606,11.993,0.159,-0.65,12.683,10.661,5787,0.04149511874809775
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1471.2871,1175.0679,17.9265096452947,9.054,0.141,39.24,9.572,8.223,3618,0.05325018621981164
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4049.5291,1094.9646,18.0464349849727,9.904,0.297,-49.56,11.497,8.084,4058,0.03655366043502905
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2089.1238,725.027,17.9011054916684,12.51,0.444,-48.94,15.722,8.749,5479,0.0587965281050986
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2043.0887,360.8579,18.3396058405351,8.509,0.059,15.04,8.582,8.075,2979,0.05040895309560235
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1437.1812,4063.5203,18.4933867903828,11.666,0.127,20.66,11.87,10.361,4221,0.008809299845763348
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3041.1558,2890.2532,18.4940442997769,9.557,0.003,-16.06,9.205,9.179,3278,0.05927780977363435
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,59.8926050708937,51.5076403609686,9691.58325321978,373.89,883.1442,18.7521408181035,7.924,0.103,-17.47,8.118,7.28,2368,0.052763395634778
2400.2,2588.1,19.158038031823,6.425,0.32,-58.7,63.302560553605,43.0457411764514,8560.5435321722,2400.1221,2588.2534,19.1711947297684,7.798,0.239,-58.24,8.46,6.442,1916,0.04330001554004693
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,854.4138,2942.4377,18.8839031240148,10.765,0.235,68.52,11.631,8.902,3427,0.037651200910058344
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,200.6025,395.8364,19.1751520360787,9.845,0.144,77.32,10.219,8.746,2898,0.046502430709323216
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,66.1775527129409,58.8980219145174,12245.0703516176,3502.8284,419.1098,19.0248111775376,9.027,0.09,75.15,9.106,8.287,2641,0.02165749404997984
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,70.9173710931994,60.2797654292195,13429.9394392252,3395.5413,774.2692,19.2459518984518,9.396,0.124,71.82,9.349,8.188,2431,0.07244211568170508
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,85.6954609315338,69.4133233545424,18687.4709138708,1148.2982,4046.5588,19.0548177385761,10.952,0.163,72.78,11.163,9.346,3262,0.06429573661430037
2200.0,12.5,19.130071263245,10.172,0.38,-61.7,98.0829042666101,60.8114006452982,18738.2140696923,2199.4717,15.1562,19.3097074770222,10.205,0.227,-43.91,10.432,8.062,2218,0.6499666532990984
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,61.5837246126086,52.9620031668434,10246.6104872274,1783.2748,3041.7144,19.7334205496349,8.618,0.104,-8.14,8.514,7.625,1944,0.04737401923409069
